"","hand"
"left",0.18
"right",0.15
"made",0.12
"crafted",0.11
"make",0.11
"money",0.11
"side",0.11
"passport",0.1
"woven",0.1
"always",0.09
"ask",0.09
"driver",0.09
"drivers",0.09
"find",0.09
"give",0.09
"hands",0.09
"pay",0.09
"sim",0.09
"sure",0.09
"turn",0.09
"usually",0.09
"visa",0.09
"will",0.09
"avoid",0.08
"bags",0.08
"cards",0.08
"carry",0.08
"charge",0.08
"cheap",0.08
"common",0.08
"cost",0.08
"countries",0.08
"currency",0.08
"customary",0.08
"enter",0.08
"even",0.08
"expect",0.08
"foreign",0.08
"friendly",0.08
"good",0.08
"keep",0.08
"know",0.08
"look",0.08
"may",0.08
"need",0.08
"night",0.08
"payment",0.08
"police",0.08
"price",0.08
"quality",0.08
"sign",0.08
"try",0.08
"visas",0.08
"without",0.08
"women",0.08
"able",0.07
"accept",0.07
"anything",0.07
"asked",0.07
"back",0.07
"better",0.07
"buy",0.07
"card",0.07
"clothing",0.07
"come",0.07
"drink",0.07
"embassy",0.07
"goods",0.07
"help",0.07
"like",0.07
"little",0.07
"normally",0.07
"per",0.07
"say",0.07
"second",0.07
"see",0.07
"sell",0.07
"set",0.07
"staff",0.07
"want",0.07
