"","tables"
"picnic",0.16
"bar",0.12
"chairs",0.11
"menu",0.11
"pool",0.11
"food",0.1
"seating",0.1
"selection",0.1
"free",0.09
"friendly",0.09
"live",0.09
"menus",0.09
"restaurant",0.09
"always",0.08
"atmosphere",0.08
"bars",0.08
"beer",0.08
"customers",0.08
"drinks",0.08
"favorite",0.08
"front",0.08
"inside",0.08
"lights",0.08
"lunch",0.08
"open",0.08
"outside",0.08
"parking",0.08
"prices",0.08
"sit",0.08
"specials",0.08
"staff",0.08
"benches",0.07
"coffee",0.07
"dining",0.07
"dinner",0.07
"fresh",0.07
"good",0.07
"music",0.07
"night",0.07
"outdoor",0.07
"relaxed",0.07
"shop",0.07
