"","hindu"
"temple",0.28
"india",0.25
"shiva",0.24
"temples",0.23
"lord",0.21
"worship",0.17
"believed",0.14
"holy",0.14
"indian",0.14
"rickshaw",0.14
"rs",0.14
"sri",0.14
"buddhist",0.13
"pilgrims",0.13
"god",0.12
"goddess",0.12
"muslim",0.12
"pilgrimage",0.12
"rickshaws",0.12
"sacred",0.12
"tamil",0.12
"delhi",0.11
"mumbai",0.11
"temple'''",0.11
"famous",0.1
"km",0.1
"religious",0.1
"said",0.1
"trekking",0.1
"ancient",0.09
"raja",0.09
"vegetarian",0.09
"carried",0.08
"charges",0.08
"district",0.08
"images",0.08
"kms",0.08
"mango",0.08
"nh",0.08
"palaces",0.08
"rule",0.08
"rulers",0.08
"shrines",0.08
"stand",0.08
"called",0.07
"like",0.07
"ruled",0.07
"shrine",0.07
"sultan",0.07
"sweet",0.07
