"","surcharge"
"fare",0.11
"metered",0.1
"applies",0.09
"card",0.09
"cards",0.09
"extra",0.09
"fuel",0.09
"note",0.09
"pay",0.09
"rate",0.09
"accepted",0.08
"additional",0.08
"basement",0.08
"charged",0.08
"cherry",0.08
"costs",0.08
"discounted",0.08
"express",0.08
"illegal",0.08
"limited",0.08
"price",0.08
"usually",0.08
"valid",0.08
"vending",0.08
"blossom",0.07
"change",0.07
"changing",0.07
"charge",0.07
"cheaper",0.07
"compared",0.07
"customs",0.07
"difference",0.07
"especially",0.07
"expensive",0.07
"foreign",0.07
"increases",0.07
"often",0.07
"paying",0.07
"quicker",0.07
"shinkansen",0.07
