"","front"
"price",0.14
"prices",0.14
"right",0.13
"free",0.12
"pay",0.12
"room",0.12
"rooms",0.12
"bar",0.11
"behind",0.11
"building",0.11
"floor",0.11
"internet",0.11
"next",0.11
"night",0.11
"staff",0.11
"wait",0.11
"ask",0.1
"cheap",0.1
"cheaper",0.1
"clean",0.1
"desk",0.1
"driver",0.1
"expensive",0.1
"friendly",0.1
"look",0.1
"restaurant",0.1
"side",0.1
"try",0.1
"walk",0.1
"avoid",0.09
"back",0.09
"balcony",0.09
"beach",0.09
"big",0.09
"bit",0.09
"budget",0.09
"charge",0.09
"check",0.09
"cost",0.09
"costs",0.09
"depending",0.09
"dishes",0.09
"drivers",0.09
"every",0.09
"find",0.09
"food",0.09
"go",0.09
"good",0.09
"hotel",0.09
"inside",0.09
"left",0.09
"lounge",0.09
"menu",0.09
"money",0.09
"nice",0.09
"per",0.09
"private",0.09
"statue",0.09
"streets",0.09
"table",0.09
"taxi",0.09
"taxis",0.09
"terminal",0.09
"ticket",0.09
"usually",0.09
"wifi",0.09
"will",0.09
"'s",0.08
"accept",0.08
"bathroom",0.08
"better",0.08
"block",0.08
"blocks",0.08
"breakfast",0.08
"bungalows",0.08
"buy",0.08
"cocktails",0.08
"coffee",0.08
"corner",0.08
"directly",0.08
"double",0.08
"end",0.08
"equipped",0.08
"expect",0.08
"fare",0.08
"fresh",0.08
"full",0.08
"higher",0.08
"keep",0.08
"kitchen",0.08
"little",0.08
"live",0.08
"looking",0.08
"make",0.08
"music",0.08
"offer",0.08
"office",0.08
"opposite",0.08
"owner",0.08
"parking",0.08
"party",0.08
"paying",0.08
"pool",0.08
"see",0.08
"shared",0.08
"sign",0.08
"start",0.08
"street",0.08
"style",0.08
"sure",0.08
"swimming",0.08
"tables",0.08
"variety",0.08
"want",0.08
"wi-fi",0.08
"without",0.08
"young",0.08
"always",0.07
"bars",0.07
"beer",0.07
"books",0.07
"cards",0.07
"crowded",0.07
"dance",0.07
"decorated",0.07
"different",0.07
"door",0.07
"drink",0.07
"drinks",0.07
"entrance",0.07
"extra",0.07
"fee",0.07
"feel",0.07
"great",0.07
"hot",0.07
"huge",0.07
"know",0.07
"leave",0.07
"locals",0.07
"made",0.07
"may",0.07
"might",0.07
"morning",0.07
"offers",0.07
"open",0.07
"past",0.07
"put",0.07
"roof",0.07
"seafood",0.07
"seating",0.07
"sell",0.07
"stalls",0.07
"tickets",0.07
"time",0.07
"vendors",0.07
"view",0.07
"watch",0.07
