"","spices"
"herbs",0.25
"flour",0.15
"stew",0.14
"cooked",0.13
"spicy",0.13
"dish",0.12
"pepper",0.12
"banana",0.11
"flavours",0.11
"meat",0.11
"origin",0.11
"tamil",0.11
"trading",0.11
"milk",0.1
"signature",0.1
"arch",0.09
"flavors",0.09
"indonesia",0.09
"producer",0.09
"sealed",0.09
"tea",0.09
"wise",0.09
"beans",0.08
"cuisines",0.08
"pot",0.08
"roasted",0.08
"tiger",0.08
"boiled",0.07
"cooking",0.07
"dialects",0.07
"eaten",0.07
"form",0.07
"hanging",0.07
"kind",0.07
"merchants",0.07
"spice",0.07
