"","symphony"
"orchestra",0.51
"arts",0.15
"performing",0.14
"ave",0.12
"concerts",0.12
"hands-",0.12
"theatre",0.12
"concert",0.11
"downtown",0.11
"presents",0.1
"exhibits",0.09
"featuring",0.09
"hockey",0.09
"mcdonald's",0.09
"science",0.09
"theater",0.09
"airport'''",0.08
"art",0.08
"blvd",0.08
"broadway",0.08
"center",0.08
"children's",0.08
"civic",0.08
"indoor",0.08
"inn",0.08
"league",0.08
"performers",0.08
"program",0.08
"programs",0.08
"retailers",0.08
"sa",0.08
"skating",0.08
"artists",0.07
"campus",0.07
"comedy",0.07
"convention",0.07
"jazz",0.07
"live",0.07
"permanent",0.07
"st",0.07
"suites",0.07
"venue",0.07
"visual",0.07
"washington",0.07
