"","next"
"door",0.19
"right",0.19
"get",0.16
"go",0.14
"eat",0.13
"prices",0.13
"rooms",0.13
"ask",0.12
"building",0.12
"buy",0.12
"cheap",0.12
"drink",0.12
"food",0.12
"night",0.12
"pay",0.12
"station",0.12
"walk",0.12
"behind",0.11
"bus",0.11
"expensive",0.11
"find",0.11
"floor",0.11
"free",0.11
"front",0.11
"good",0.11
"hotel",0.11
"just",0.11
"nice",0.11
"opposite",0.11
"per",0.11
"see",0.11
"sleep",0.11
"staff",0.11
"stop",0.11
"ticket",0.11
"'s",0.1
"around",0.1
"bit",0.1
"clean",0.1
"costs",0.1
"friendly",0.1
"inside",0.1
"leave",0.1
"office",0.1
"outside",0.1
"price",0.1
"restaurant",0.1
"side",0.1
"train",0.1
"try",0.1
"want",0.1
"will",0.1
"'re",0.09
"always",0.09
"bar",0.09
"bars",0.09
"beer",0.09
"can",0.09
"cheaper",0.09
"cost",0.09
"end",0.09
"every",0.09
"going",0.09
"hostel",0.09
"internet",0.09
"left",0.09
"little",0.09
"look",0.09
"make",0.09
"might",0.09
"quite",0.09
"room",0.09
"run",0.09
"selection",0.09
"serves",0.09
"sign",0.09
"take",0.09
"taxi",0.09
"terminal",0.09
"tickets",0.09
"use",0.09
"usually",0.09
"'ll",0.08
"another",0.08
"back",0.08
"big",0.08
"book",0.08
"budget",0.08
"buses",0.08
"cafe",0.08
"centre",0.08
"charge",0.08
"check",0.08
"close",0.08
"coffee",0.08
"corner",0.08
"day",0.08
"decent",0.08
"depending",0.08
"double",0.08
"drinks",0.08
"driver",0.08
"entrance",0.08
"even",0.08
"fare",0.08
"fast",0.08
"hotels",0.08
"know",0.08
"least",0.08
"lots",0.08
"may",0.08
"menu",0.08
"minutes",0.08
"modern",0.08
"money",0.08
"morning",0.08
"music",0.08
"need",0.08
"offer",0.08
"open",0.08
"option",0.08
"parking",0.08
"person",0.08
"place",0.08
"pool",0.08
"probably",0.08
"reasonable",0.08
"safe",0.08
"sell",0.08
"shop",0.08
"shops",0.08
"sometimes",0.08
"start",0.08
"takes",0.08
"thai",0.08
"time",0.08
"top",0.08
"understand",0.08
"wait",0.08
"walking",0.08
"wifi",0.08
"without",0.08
"worth",0.08
"across",0.07
"also",0.07
"arrange",0.07
"best",0.07
"better",0.07
"change",0.07
"choice",0.07
"crowded",0.07
"depart",0.07
"directly",0.07
"dishes",0.07
"evening",0.07
"expect",0.07
"first",0.07
"give",0.07
"guesthouse",0.07
"large",0.07
"last",0.07
"like",0.07
"note",0.07
"paying",0.07
"pedestrian",0.07
"quiet",0.07
"rather",0.07
"ride",0.07
"shared",0.07
"shopping",0.07
"single",0.07
"slightly",0.07
"streets",0.07
"sure",0.07
"terrace",0.07
"towards",0.07
"turn",0.07
"two",0.07
