"","building"
"built",0.2
"museum",0.18
"buildings",0.17
"floor",0.16
"hall",0.16
"century",0.15
"art",0.14
"exhibition",0.14
"former",0.14
"office",0.14
"oldest",0.14
"original",0.14
"church",0.13
"city's",0.13
"history",0.13
"housed",0.13
"modern",0.13
"now",0.13
"old",0.13
"square",0.13
"style",0.13
"collection",0.12
"dates",0.12
"designed",0.12
"first",0.12
"free",0.12
"house",0.12
"houses",0.12
"next",0.12
"rebuilt",0.12
"tower",0.12
"used",0.12
"architect",0.11
"baroque",0.11
"behind",0.11
"erected",0.11
"front",0.11
"renovated",0.11
"station",0.11
"theatre",0.11
"altar",0.1
"basement",0.1
"cathedral",0.1
"closed",0.1
"completed",0.1
"decorated",0.1
"exhibits",0.1
"facade",0.1
"founded",0.1
"gallery",0.1
"historical",0.1
"interior",0.1
"later",0.1
"library",0.1
"monument",0.1
"music",0.1
"open",0.1
"opened",0.1
"originally",0.1
"restored",0.1
"room",0.1
"rooms",0.1
"today",0.1
"wooden",0.1
"works",0.1
"years",0.1
"brick",0.09
"center",0.09
"centre",0.09
"chapel",0.09
"cinema",0.09
"complex",0.09
"courtyard",0.09
"damaged",0.09
"dating",0.09
"design",0.09
"destroyed",0.09
"early",0.09
"entrance",0.09
"events",0.09
"floors",0.09
"gothic",0.09
"historic",0.09
"inside",0.09
"late",0.09
"middle",0.09
"opposite",0.09
"paintings",0.09
"palace",0.09
"pedestrian",0.09
"restaurant",0.09
"roof",0.09
"sa",0.09
"school",0.09
"serves",0.09
"shopping",0.09
"statue",0.09
"still",0.09
"stone",0.09
"street",0.09
"streets",0.09
"su",0.09
"ticket",0.09
"walls",0.09
"back",0.08
"bank",0.08
"cafe",0.08
"catholic",0.08
"classical",0.08
"concert",0.08
"contains",0.08
"corner",0.08
"devoted",0.08
"dishes",0.08
"displays",0.08
"dome",0.08
"door",0.08
"end",0.08
"every",0.08
"example",0.08
"garden",0.08
"gate",0.08
"halls",0.08
"hotel",0.08
"internet",0.08
"last",0.08
"look",0.08
"menu",0.08
"monumental",0.08
"order",0.08
"outside",0.08
"painting",0.08
"parking",0.08
"parliament",0.08
"period",0.08
"post",0.08
"present",0.08
"public",0.08
"railway",0.08
"residence",0.08
"sculpture",0.08
"second",0.08
"selection",0.08
"shows",0.08
"since",0.08
"staff",0.08
"store",0.08
"structure",0.08
"student",0.08
"surviving",0.08
"synagogue",0.08
"tickets",0.08
"university",0.08
"windows",0.08
"work",0.08
"became",0.07
"began",0.07
"beginning",0.07
"bell",0.07
"cemetery",0.07
"central",0.07
"chain",0.07
"concerts",0.07
"converted",0.07
"cultural",0.07
"current",0.07
"demolished",0.07
"different",0.07
"european",0.07
"exhibit",0.07
"film",0.07
"find",0.07
"fine",0.07
"fountain",0.07
"ground",0.07
"hostel",0.07
"hungarian",0.07
"large",0.07
"left",0.07
"m-f",0.07
"made",0.07
"main",0.07
"market",0.07
"opening",0.07
"orthodox",0.07
"renovation",0.07
"roman",0.07
"shop",0.07
"side",0.07
"special",0.07
"stands",0.07
"stop",0.07
"students",0.07
"symbol",0.07
"theater",0.07
"time",0.07
"train",0.07
"two",0.07
"walk",0.07
"walking",0.07
"wall",0.07
"wi-fi",0.07
