"","look"
"ask",0.15
"find",0.14
"like",0.14
"sure",0.14
"try",0.14
"want",0.14
"will",0.14
"even",0.13
"keep",0.13
"make",0.13
"may",0.13
"see",0.13
"sign",0.13
"walk",0.13
"'ll",0.12
"'s",0.12
"always",0.12
"buy",0.12
"cheap",0.12
"drivers",0.12
"english",0.12
"just",0.12
"know",0.12
"looking",0.12
"might",0.12
"right",0.12
"sell",0.12
"usually",0.12
"worth",0.12
"'re",0.11
"another",0.11
"avoid",0.11
"back",0.11
"better",0.11
"check",0.11
"driver",0.11
"expect",0.11
"expensive",0.11
"give",0.11
"go",0.11
"hard",0.11
"little",0.11
"much",0.11
"nice",0.11
"offer",0.11
"often",0.11
"outside",0.11
"pay",0.11
"price",0.11
"prices",0.11
"quite",0.11
"side",0.11
"sometimes",0.11
"anything",0.1
"behind",0.1
"best",0.1
"bit",0.1
"cheaper",0.1
"cost",0.1
"definitely",0.1
"different",0.1
"especially",0.1
"feel",0.1
"found",0.1
"front",0.1
"get",0.1
"good",0.1
"help",0.1
"left",0.1
"locals",0.1
"money",0.1
"need",0.1
"night",0.1
"really",0.1
"ride",0.1
"shops",0.1
"something",0.1
"staff",0.1
"still",0.1
"ticket",0.1
"watch",0.1
"without",0.1
"able",0.09
"accept",0.09
"across",0.09
"almost",0.09
"around",0.09
"authentic",0.09
"aware",0.09
"bars",0.09
"big",0.09
"buying",0.09
"charge",0.09
"clean",0.09
"come",0.09
"day",0.09
"far",0.09
"floor",0.09
"food",0.09
"foreign",0.09
"friendly",0.09
"generally",0.09
"huge",0.09
"inside",0.09
"least",0.09
"likely",0.09
"lot",0.09
"made",0.09
"next",0.09
"past",0.09
"people",0.09
"place",0.09
"places",0.09
"police",0.09
"probably",0.09
"rather",0.09
"remember",0.09
"say",0.09
"seem",0.09
"signs",0.09
"sit",0.09
"stay",0.09
"streets",0.09
"take",0.09
"tend",0.09
"tickets",0.09
"time",0.09
"top",0.09
"tourist",0.09
"unless",0.09
"use",0.09
"way",0.09
"'ve",0.08
"actually",0.08
"although",0.08
"asking",0.08
"beer",0.08
"book",0.08
"budget",0.08
"building",0.08
"can",0.08
"card",0.08
"cards",0.08
"common",0.08
"companies",0.08
"consider",0.08
"costs",0.08
"couple",0.08
"dishes",0.08
"drink",0.08
"drinks",0.08
"eat",0.08
"either",0.08
"end",0.08
"enter",0.08
"every",0.08
"everything",0.08
"excellent",0.08
"extra",0.08
"extremely",0.08
"fairly",0.08
"fare",0.08
"fee",0.08
"finding",0.08
"going",0.08
"hand",0.08
"idea",0.08
"insist",0.08
"internet",0.08
"leave",0.08
"less",0.08
"let",0.08
"list",0.08
"long",0.08
"looks",0.08
"making",0.08
"map",0.08
"mind",0.08
"miss",0.08
"modern",0.08
"must",0.08
"note",0.08
"one",0.08
"ones",0.08
"opposite",0.08
"options",0.08
"paying",0.08
"plan",0.08
"prepared",0.08
"pretty",0.08
"purchase",0.08
"purchased",0.08
"quality",0.08
"return",0.08
"safe",0.08
"serve",0.08
"set",0.08
"shop",0.08
"short",0.08
"show",0.08
"slightly",0.08
"someone",0.08
"speak",0.08
"start",0.08
"stop",0.08
"taxi",0.08
"think",0.08
"tour",0.08
"tourists",0.08
"wait",0.08
"window",0.08
"work",0.08
"yellow",0.08
"young",0.08
"anyone",0.07
"anywhere",0.07
"bring",0.07
"cafes",0.07
"careful",0.07
"certain",0.07
"chance",0.07
"close",0.07
"coffee",0.07
"days",0.07
"difficult",0.07
"easy",0.07
"else",0.07
"entrance",0.07
"experience",0.07
"fill",0.07
"foreigners",0.07
"gets",0.07
"great",0.07
"illegal",0.07
"instead",0.07
"large",0.07
"longer",0.07
"lots",0.07
"lower",0.07
"many",0.07
"meat",0.07
"morning",0.07
"online",0.07
"pick",0.07
"real",0.07
"reasonable",0.07
"red",0.07
"refuse",0.07
"room",0.07
"seems",0.07
"selection",0.07
"similar",0.07
"simply",0.07
"somewhat",0.07
"spend",0.07
"standard",0.07
"taking",0.07
"things",0.07
"though",0.07
"traffic",0.07
"trip",0.07
"turn",0.07
"typically",0.07
"used",0.07
"walking",0.07
"water",0.07
"well",0.07
"white",0.07
"wide",0.07
