"","passengers"
"drivers",0.14
"driver",0.13
"passport",0.13
"card",0.12
"charge",0.12
"cruise",0.12
"ferries",0.12
"ferry",0.12
"passenger",0.12
"queue",0.12
"taxis",0.12
"terminal",0.12
"wait",0.12
"arrival",0.11
"arriving",0.11
"cost",0.11
"costs",0.11
"departure",0.11
"fare",0.11
"fixed",0.11
"luggage",0.11
"pay",0.11
"travel",0.11
"visa",0.11
"waiting",0.11
"accept",0.1
"air",0.1
"airlines",0.1
"ask",0.1
"avoid",0.1
"cards",0.1
"carry",0.1
"cars",0.1
"generally",0.1
"least",0.1
"may",0.1
"often",0.1
"operate",0.1
"pick",0.1
"police",0.1
"price",0.1
"service",0.1
"ships",0.1
"taxi",0.1
"ticket",0.1
"arrive",0.09
"board",0.09
"boarding",0.09
"buses",0.09
"cheaper",0.09
"check",0.09
"common",0.09
"companies",0.09
"customs",0.09
"depart",0.09
"depending",0.09
"even",0.09
"expect",0.09
"expensive",0.09
"fares",0.09
"flights",0.09
"journey",0.09
"longer",0.09
"might",0.09
"money",0.09
"must",0.09
"need",0.09
"note",0.09
"numbers",0.09
"operators",0.09
"paying",0.09
"prices",0.09
"rate",0.09
"return",0.09
"scheduled",0.09
"security",0.09
"services",0.09
"shuttle",0.09
"sim",0.09
"sometimes",0.09
"stops",0.09
"sure",0.09
"tend",0.09
"terminals",0.09
"tickets",0.09
"time",0.09
"typically",0.09
"use",0.09
"usually",0.09
"vehicle",0.09
"without",0.09
"advance",0.08
"although",0.08
"always",0.08
"anywhere",0.08
"apply",0.08
"available",0.08
"aware",0.08
"baggage",0.08
"bags",0.08
"booked",0.08
"cater",0.08
"checks",0.08
"credit",0.08
"currency",0.08
"daily",0.08
"drop",0.08
"either",0.08
"especially",0.08
"exchange",0.08
"extra",0.08
"frequently",0.08
"insurance",0.08
"internet",0.08
"keep",0.08
"leave",0.08
"leaving",0.08
"less",0.08
"make",0.08
"normally",0.08
"operating",0.08
"payment",0.08
"per",0.08
"prior",0.08
"provide",0.08
"rather",0.08
"require",0.08
"required",0.08
"routes",0.08
"sell",0.08
"though",0.08
"tip",0.08
"transfers",0.08
"transport",0.08
"trip",0.08
"trips",0.08
"using",0.08
"valid",0.08
"vary",0.08
"will",0.08
"accepted",0.07
"across",0.07
"additional",0.07
"agent",0.07
"airline",0.07
"airways",0.07
"boats",0.07
"book",0.07
"call",0.07
"carries",0.07
"change",0.07
"charged",0.07
"cheap",0.07
"comparable",0.07
"countries",0.07
"crossings",0.07
"crowded",0.07
"dependent",0.07
"enter",0.07
"flight",0.07
"foreign",0.07
"gsm",0.07
"islands",0.07
"journeys",0.07
"let",0.07
"like",0.07
"likely",0.07
"lines",0.07
"locations",0.07
"metered",0.07
"mobile",0.07
"night",0.07
"number",0.07
"offer",0.07
"offices",0.07
"official",0.07
"operates",0.07
"passports",0.07
"please",0.07
"prepaid",0.07
"purchased",0.07
"rates",0.07
"ride",0.07
"ship",0.07
"smaller",0.07
"takes",0.07
"throughout",0.07
"times",0.07
"tourists",0.07
"traffic",0.07
"unless",0.07
"vehicles",0.07
"visas",0.07
