"","control"
"passport",0.12
"political",0.12
"security",0.12
"situation",0.12
"visas",0.12
"citizens",0.11
"countries",0.11
"forces",0.11
"gain",0.11
"government",0.11
"rule",0.11
"controlled",0.1
"currency",0.1
"embassy",0.1
"fought",0.1
"officers",0.1
"passports",0.1
"territory",0.1
"visa",0.1
"war",0.1
"allowed",0.09
"came",0.09
"conflict",0.09
"embassies",0.09
"fighting",0.09
"foreign",0.09
"ongoing",0.09
"took",0.09
"accept",0.08
"agreed",0.08
"agreement",0.08
"air",0.08
"army",0.08
"british",0.08
"customs",0.08
"granted",0.08
"hands",0.08
"law",0.08
"led",0.08
"lost",0.08
"military",0.08
"nationals",0.08
"obtain",0.08
"personnel",0.08
"police",0.08
"regions",0.08
"remain",0.08
"un",0.08
"armed",0.07
"attack",0.07
"attacks",0.07
"avoid",0.07
"civilian",0.07
"dangerous",0.07
"due",0.07
"exchange",0.07
"extremely",0.07
"force",0.07
"foreigners",0.07
"generally",0.07
"heavy",0.07
"influence",0.07
"issue",0.07
"issued",0.07
"likely",0.07
"stronger",0.07
"travel",0.07
"trying",0.07
"violent",0.07
