"","research"
"scientific",0.13
"institute",0.12
"expedition",0.1
"civilian",0.09
"edward",0.09
"team",0.09
"university",0.09
"academic",0.08
"campus",0.07
"permanent",0.07
"program",0.07
"studies",0.07
