"","children"
"adults",0.31
"seniors",0.26
"free",0.15
"admission",0.14
"museum",0.14
"adult",0.13
"su",0.13
"m-sa",0.12
"sa",0.12
"students",0.12
"ages",0.1
"closed",0.1
"exhibits",0.1
"family",0.1
"indoor",0.1
"m-f",0.1
"sa-su",0.1
"school",0.1
"age",0.09
"aged",0.09
"art",0.09
"children's",0.09
"collection",0.09
"house",0.09
"open",0.09
"park",0.09
"parking",0.09
"play",0.09
"st",0.09
"sunday",0.09
"tu-su",0.09
"young",0.09
"american",0.08
"aug",0.08
"ave",0.08
"f-sa",0.08
"families",0.08
"features",0.08
"guided",0.08
"hands-",0.08
"history",0.08
"music",0.08
"outdoor",0.08
"playground",0.08
"program",0.08
"saturday",0.08
"senior",0.08
"shop",0.08
"special",0.08
"years",0.08
"artists",0.07
"child",0.07
"discounts",0.07
"farm",0.07
"friday",0.07
"fun",0.07
"gallery",0.07
"garden",0.07
"hall",0.07
"kids",0.07
"live",0.07
"miles",0.07
"mondays",0.07
"variety",0.07
"zoo",0.07
