"","spicy"
"sauce",0.3
"fried",0.18
"dish",0.17
"sauces",0.17
"soup",0.17
"dishes",0.14
"fermented",0.14
"noodle",0.13
"rice",0.13
"shrimp",0.13
"spices",0.13
"coconut",0.12
"dried",0.12
"eaten",0.12
"noodles",0.12
"pork",0.12
"sour",0.12
"boiled",0.11
"egg",0.11
"garlic",0.11
"meat",0.11
"milk",0.11
"taste",0.11
"try",0.11
"beef",0.1
"chicken",0.1
"food",0.1
"hottest",0.1
"indonesia",0.1
"lime",0.1
"steamed",0.1
"chili",0.09
"chinese",0.09
"cooked",0.09
"cuisine",0.09
"culinary",0.09
"curry",0.09
"fish",0.09
"made",0.09
"mixed",0.09
"pepper",0.09
"slices",0.09
"sweet",0.09
"bean",0.08
"curries",0.08
"eat",0.08
"extra",0.08
"flour",0.08
"india",0.08
"prepared",0.08
"raw",0.08
"stall",0.08
"stew",0.08
"stuffed",0.08
"tastes",0.08
"version",0.08
"added",0.07
"fresh",0.07
"grilled",0.07
"juice",0.07
"sausage",0.07
"served",0.07
"tasty",0.07
"treat",0.07
"vegetables",0.07
