"","taking"
"avoid",0.1
"drivers",0.1
"get",0.1
"journey",0.1
"often",0.1
"pay",0.1
"take",0.1
"way",0.1
"will",0.1
"although",0.09
"always",0.09
"ask",0.09
"change",0.09
"consider",0.09
"costing",0.09
"driver",0.09
"even",0.09
"generally",0.09
"make",0.09
"ticket",0.09
"time",0.09
"'ll",0.08
"'re",0.08
"accept",0.08
"another",0.08
"better",0.08
"buses",0.08
"buy",0.08
"can",0.08
"cheaper",0.08
"cost",0.08
"costs",0.08
"currency",0.08
"either",0.08
"especially",0.08
"expensive",0.08
"find",0.08
"getting",0.08
"give",0.08
"going",0.08
"hours",0.08
"instead",0.08
"least",0.08
"longer",0.08
"may",0.08
"mind",0.08
"money",0.08
"much",0.08
"need",0.08
"option",0.08
"passport",0.08
"prices",0.08
"reached",0.08
"require",0.08
"ride",0.08
"services",0.08
"short",0.08
"sure",0.08
"travel",0.08
"trip",0.08
"try",0.08
"use",0.08
"using",0.08
"usually",0.08
"visa",0.08
"without",0.08
"worth",0.08
"advantage",0.07
"bus",0.07
"changing",0.07
"charge",0.07
"cheap",0.07
"cover",0.07
"european",0.07
"just",0.07
"leave",0.07
"leaving",0.07
"look",0.07
"looking",0.07
"might",0.07
"people",0.07
"possible",0.07
"price",0.07
"right",0.07
"sometimes",0.07
"takes",0.07
"want",0.07
