"","stop"
"bus",0.17
"trains",0.17
"buses",0.15
"station",0.14
"stops",0.14
"line",0.13
"ticket",0.13
"driver",0.12
"train",0.12
"will",0.12
"fare",0.11
"get",0.11
"next",0.11
"ask",0.1
"make",0.1
"take",0.1
"walk",0.1
"want",0.1
"'re",0.09
"change",0.09
"drivers",0.09
"ride",0.09
"sure",0.09
"tickets",0.09
"way",0.09
"along",0.08
"another",0.08
"check",0.08
"cost",0.08
"costs",0.08
"directly",0.08
"go",0.08
"going",0.08
"jr",0.08
"look",0.08
"outside",0.08
"pay",0.08
"railway",0.08
"right",0.08
"run",0.08
"runs",0.08
"stations",0.08
"taxi",0.08
"tram",0.08
"transfer",0.08
"building",0.07
"cheap",0.07
"depart",0.07
"find",0.07
"hour",0.07
"inside",0.07
"just",0.07
"little",0.07
"note",0.07
"often",0.07
"option",0.07
"price",0.07
"trip",0.07
