"","hotel"
"rooms",0.31
"star",0.21
"restaurant",0.2
"room",0.18
"hotels",0.17
"internet",0.15
"double",0.14
"free",0.14
"pool",0.14
"suites",0.14
"bar",0.13
"business",0.13
"clean",0.13
"swimming",0.13
"boutique",0.12
"breakfast",0.12
"budget",0.12
"bus",0.12
"centre",0.12
"deluxe",0.12
"food",0.12
"good",0.12
"luxury",0.12
"nice",0.12
"spacious",0.12
"staff",0.12
"friendly",0.11
"guests",0.11
"next",0.11
"opposite",0.11
"per",0.11
"prices",0.11
"cost",0.1
"hotel's",0.1
"modern",0.1
"night",0.1
"private",0.1
"renovated",0.1
"shopping",0.1
"station",0.1
"taxi",0.1
"apartments",0.09
"bathroom",0.09
"best",0.09
"buses",0.09
"cheap",0.09
"club",0.09
"conference",0.09
"costs",0.09
"equipped",0.09
"excellent",0.09
"expensive",0.09
"fitness",0.09
"floor",0.09
"front",0.09
"garden",0.09
"heart",0.09
"lobby",0.09
"offers",0.09
"plaza",0.09
"price",0.09
"rates",0.09
"single",0.09
"spa",0.09
"style",0.09
"taxis",0.09
"tv",0.09
"wi-fi",0.09
"wifi",0.09
"amenities",0.08
"away",0.08
"balcony",0.08
"building",0.08
"cable",0.08
"center",0.08
"chinese",0.08
"city",0.08
"close",0.08
"courtyard",0.08
"decent",0.08
"dishes",0.08
"doubles",0.08
"facilities",0.08
"furnished",0.08
"hostel",0.08
"house",0.08
"market",0.08
"meeting",0.08
"menu",0.08
"mid-range",0.08
"minutes",0.08
"palace",0.08
"quality",0.08
"reasonable",0.08
"sauna",0.08
"serving",0.08
"standard",0.08
"terrace",0.08
"view",0.08
"walk",0.08
"wireless",0.08
"'''hotel",0.07
"air",0.07
"bars",0.07
"bathrooms",0.07
"buffet",0.07
"centrally",0.07
"coffee",0.07
"every",0.07
"indoor",0.07
"located",0.07
"luxurious",0.07
"near",0.07
"offering",0.07
"person",0.07
"place",0.07
"right",0.07
"shared",0.07
"situated",0.07
"street",0.07
"stylish",0.07
"suite",0.07
"try",0.07
"value",0.07
