"","option"
"another",0.17
"better",0.14
"cheapest",0.14
"cost",0.14
"options",0.14
"cheaper",0.13
"expensive",0.13
"will",0.13
"ask",0.12
"best",0.12
"budget",0.12
"get",0.12
"pay",0.12
"prices",0.12
"take",0.12
"usually",0.12
"want",0.12
"cheap",0.11
"driver",0.11
"even",0.11
"good",0.11
"may",0.11
"might",0.11
"need",0.11
"paying",0.11
"price",0.11
"staying",0.11
"taxi",0.11
"always",0.1
"avoid",0.1
"can",0.1
"clean",0.1
"costs",0.1
"decent",0.1
"depending",0.1
"expect",0.1
"go",0.1
"hotels",0.1
"make",0.1
"money",0.1
"much",0.1
"taxis",0.1
"time",0.1
"travel",0.1
"trip",0.1
"without",0.1
"'re",0.09
"'s",0.09
"although",0.09
"around",0.09
"bit",0.09
"bus",0.09
"buy",0.09
"crowded",0.09
"find",0.09
"getting",0.09
"leave",0.09
"less",0.09
"like",0.09
"little",0.09
"locals",0.09
"nice",0.09
"night",0.09
"note",0.09
"offer",0.09
"often",0.09
"per",0.09
"probably",0.09
"quite",0.09
"renting",0.09
"ride",0.09
"sometimes",0.09
"sure",0.09
"tourist",0.09
"try",0.09
"unless",0.09
"way",0.09
"'ll",0.08
"advance",0.08
"arrange",0.08
"back",0.08
"buses",0.08
"charge",0.08
"check",0.08
"companies",0.08
"day",0.08
"different",0.08
"drivers",0.08
"far",0.08
"give",0.08
"going",0.08
"hard",0.08
"however",0.08
"just",0.08
"keep",0.08
"know",0.08
"likely",0.08
"lot",0.08
"mind",0.08
"next",0.08
"person",0.08
"places",0.08
"possible",0.08
"private",0.08
"really",0.08
"remember",0.08
"rent",0.08
"room",0.08
"rooms",0.08
"sell",0.08
"slightly",0.08
"staff",0.08
"start",0.08
"stay",0.08
"taking",0.08
"tend",0.08
"ticket",0.08
"tickets",0.08
"use",0.08
"wait",0.08
"accept",0.07
"affordable",0.07
"also",0.07
"away",0.07
"basic",0.07
"board",0.07
"buying",0.07
"card",0.07
"cards",0.07
"change",0.07
"charged",0.07
"compared",0.07
"deal",0.07
"drink",0.07
"drinks",0.07
"either",0.07
"especially",0.07
"fixed",0.07
"food",0.07
"friendly",0.07
"generally",0.07
"least",0.07
"let",0.07
"luggage",0.07
"number",0.07
"outside",0.07
"paid",0.07
"people",0.07
"place",0.07
"plan",0.07
"popular",0.07
"prepared",0.07
"rather",0.07
"right",0.07
"seem",0.07
"simple",0.07
"spend",0.07
"stop",0.07
"terminal",0.07
"two",0.07
"visa",0.07
"well",0.07
"worth",0.07
