"","seaside"
"beach",0.18
"sea",0.17
"promenade",0.16
"seafront",0.15
"sandy",0.14
"coast",0.13
"resort",0.13
"holiday",0.12
"beaches",0.11
"coastal",0.11
"cliffs",0.09
"coastline",0.09
"fish",0.09
"harbour",0.09
"awarded",0.08
"bay",0.07
"estuary",0.07
"mouth",0.07
"studios",0.07
