"","vietnam"
"vietnamese",0.44
"dong",0.27
"motorbike",0.14
"claimed",0.11
"china",0.1
"sleeper",0.1
"son",0.09
"border",0.08
"van",0.08
"announced",0.07
"ben",0.07
"occupied",0.07
"tu",0.07
