"","sweden"
"swedish",0.44
"nordic",0.18
"norway",0.18
"search",0.14
"engine",0.13
"norwegian",0.12
"trains",0.1
"danish",0.09
"viking",0.09
"arctic",0.08
"connection",0.08
"europe's",0.08
"finnish",0.07
"instance",0.07
"province",0.07
