"","line"
"jr",0.25
"station",0.23
"rail",0.21
"train",0.2
"lines",0.16
"railway",0.16
"shinkansen",0.16
"trains",0.16
"japan",0.15
"stops",0.15
"tokyo",0.15
"runs",0.14
"stations",0.14
"expwy",0.13
"japanese",0.13
"stop",0.13
"express",0.12
"subway",0.12
"commuter",0.11
"japan's",0.11
"yen",0.11
"change",0.1
"line'''",0.1
"bus",0.09
"metro",0.09
"minutes",0.09
"rapid",0.09
"run",0.09
"served",0.09
"tram",0.09
"branch",0.08
"cherry",0.08
"connects",0.08
"limited",0.08
"passes",0.08
"prefecture",0.08
"running",0.08
"service",0.08
"services",0.08
"terminates",0.08
"terminus",0.08
"transfer",0.08
"via",0.08
"route",0.07
"shopping",0.07
"suburban",0.07
"ticket",0.07
