"","spend"
"night",0.15
"time",0.15
"day",0.13
"want",0.13
"make",0.11
"will",0.11
"ask",0.1
"buy",0.1
"days",0.1
"expect",0.1
"'re",0.09
"afternoon",0.09
"always",0.09
"better",0.09
"couple",0.09
"find",0.09
"friendly",0.09
"like",0.09
"may",0.09
"money",0.09
"offer",0.09
"pay",0.09
"place",0.09
"plan",0.09
"price",0.09
"sure",0.09
"usually",0.09
"'s",0.08
"around",0.08
"avoid",0.08
"best",0.08
"bring",0.08
"can",0.08
"check",0.08
"come",0.08
"driver",0.08
"drivers",0.08
"enjoy",0.08
"even",0.08
"expensive",0.08
"feel",0.08
"get",0.08
"go",0.08
"great",0.08
"learn",0.08
"likely",0.08
"locals",0.08
"need",0.08
"nice",0.08
"order",0.08
"places",0.08
"prepared",0.08
"really",0.08
"see",0.08
"something",0.08
"things",0.08
"trip",0.08
"try",0.08
"way",0.08
"without",0.08
"worth",0.08
"arrange",0.07
"charge",0.07
"clean",0.07
"drinks",0.07
"especially",0.07
"extra",0.07
"help",0.07
"least",0.07
"leave",0.07
"little",0.07
"look",0.07
"looking",0.07
"makes",0.07
"might",0.07
"option",0.07
"people",0.07
"perfect",0.07
"prices",0.07
"stay",0.07
"tourists",0.07
"visit",0.07
"wait",0.07
"wandering",0.07
"willing",0.07
"wonderful",0.07
