"","plaza"
"calle",0.23
"de",0.17
"del",0.17
"la",0.16
"avenida",0.15
"blocks",0.15
"los",0.15
"spanish",0.15
"san",0.14
"block",0.13
"el",0.13
"las",0.13
"mall",0.13
"shopping",0.13
"center",0.11
"mexican",0.11
"parque",0.11
"'''el",0.1
"'''la",0.1
"ave",0.1
"business",0.1
"casa",0.1
"corner",0.1
"don",0.1
"laundry",0.1
"pesos",0.1
"american",0.09
"avenue",0.09
"bar",0.09
"blvd",0.09
"centro",0.09
"colonial",0.09
"con",0.09
"downtown",0.09
"hotel",0.09
"jose",0.09
"juan",0.09
"metro",0.09
"sol",0.09
"streets",0.09
"suites",0.09
"tapas",0.09
"terminal",0.09
"bars",0.08
"cable",0.08
"chicken",0.08
"delicious",0.08
"floor",0.08
"food",0.08
"francisco",0.08
"free",0.08
"hilton",0.08
"malls",0.08
"marriott",0.08
"mayor",0.08
"mexico",0.08
"pedro",0.08
"real",0.08
"restaurant",0.08
"salsa",0.08
"santa",0.08
"santiago",0.08
"try",0.08
"upscale",0.08
"city's",0.07
"convention",0.07
"features",0.07
"latin",0.07
"miguel",0.07
"movie",0.07
"music",0.07
"pizza",0.07
"rooms",0.07
"spain",0.07
"sur",0.07
"theater",0.07
"wi-fi",0.07
