"","sundays"
"saturdays",0.22
"monday",0.15
"mondays",0.14
"thursdays",0.13
"closed",0.12
"fridays",0.12
"open",0.12
"sunday",0.12
"tuesdays",0.12
"wednesdays",0.12
"saturday",0.1
"friday",0.09
"free",0.08
"holidays",0.08
"wednesday",0.08
"weekdays",0.08
"days",0.07
"evenings",0.07
"except",0.07
