"","movie"
"theater",0.28
"movies",0.21
"theaters",0.2
"downtown",0.15
"mall",0.15
"shopping",0.14
"theatre",0.14
"theatres",0.13
"drive-",0.12
"ave",0.11
"features",0.11
"screen",0.11
"american",0.1
"bar",0.1
"burger",0.1
"center",0.1
"dining",0.1
"pizza",0.1
"shows",0.1
"upscale",0.1
"baseball",0.09
"blvd",0.09
"chain",0.09
"cinema",0.09
"cinemas",0.09
"classic",0.09
"filmed",0.09
"grill",0.09
"indoor",0.09
"inn",0.09
"live",0.09
"music",0.09
"offers",0.09
"stadium",0.09
"store",0.09
"stores",0.09
"street",0.09
"suites",0.09
"sushi",0.09
"arts",0.08
"avenue",0.08
"basketball",0.08
"bowling",0.08
"clark",0.08
"club",0.08
"concerts",0.08
"events",0.08
"favorite",0.08
"featuring",0.08
"fitness",0.08
"free",0.08
"friday",0.08
"fun",0.08
"games",0.08
"hollywood",0.08
"hosts",0.08
"italian",0.08
"located",0.08
"mexican",0.08
"plays",0.08
"sports",0.08
"st",0.08
"taco",0.08
"themed",0.08
"variety",0.08
"anchored",0.07
"film",0.07
"films",0.07
"food",0.07
"great",0.07
"outdoor",0.07
"park",0.07
"plaza",0.07
"roller",0.07
"selection",0.07
