"","definitely"
"worth",0.17
"prices",0.11
"sure",0.11
"always",0.1
"even",0.1
"expensive",0.1
"food",0.1
"look",0.1
"make",0.1
"really",0.1
"try",0.1
"'re",0.09
"'s",0.09
"best",0.09
"cheap",0.09
"feel",0.09
"find",0.09
"like",0.09
"nice",0.09
"pay",0.09
"place",0.09
"usually",0.09
"want",0.09
"will",0.09
"ask",0.08
"better",0.08
"bit",0.08
"check",0.08
"crowded",0.08
"drink",0.08
"expect",0.08
"fun",0.08
"generally",0.08
"get",0.08
"go",0.08
"grab",0.08
"great",0.08
"looking",0.08
"lot",0.08
"menu",0.08
"mind",0.08
"money",0.08
"need",0.08
"night",0.08
"paying",0.08
"price",0.08
"probably",0.08
"quite",0.08
"something",0.08
"things",0.08
"think",0.08
"time",0.08
"without",0.08
"although",0.07
"atmosphere",0.07
"aware",0.07
"bring",0.07
"buy",0.07
"buying",0.07
"drivers",0.07
"especially",0.07
"extremely",0.07
"friendly",0.07
"give",0.07
"just",0.07
"locals",0.07
"meal",0.07
"offer",0.07
"places",0.07
"right",0.07
"stay",0.07
"stuck",0.07
"trendy",0.07
