"","muslim"
"islamic",0.23
"conflict",0.21
"mosque",0.17
"muslims",0.14
"cautious",0.13
"arab",0.12
"hindu",0.12
"india",0.12
"mosques",0.12
"visas",0.12
"asia",0.11
"rule",0.11
"strongly",0.11
"arabic",0.1
"christian",0.1
"countries",0.1
"currency",0.1
"ethnic",0.1
"government",0.1
"remain",0.1
"signed",0.1
"sultan",0.1
"visa",0.1
"women",0.1
"avoid",0.09
"capital",0.09
"declared",0.09
"embassies",0.09
"embassy",0.09
"prayer",0.09
"sim",0.09
"tomb",0.09
"widely",0.09
"believed",0.08
"dead",0.08
"language",0.08
"passport",0.08
"political",0.08
"protect",0.08
"provinces",0.08
"security",0.08
"situation",0.08
"tombs",0.08
"travelling",0.08
"un",0.08
"violence",0.08
"almost",0.07
"ancient",0.07
"attacks",0.07
"buddhist",0.07
"citizens",0.07
"ending",0.07
"foreign",0.07
"heavy",0.07
"majority",0.07
"mosaic",0.07
"necessary",0.07
"religious",0.07
"turkish",0.07
