"","miguel"
"las",0.2
"san",0.2
"el",0.17
"vendor",0.17
"tours'''",0.16
"america",0.15
"de",0.14
"wake",0.13
"'''san",0.12
"playa",0.12
"principal",0.12
"centro",0.1
"del",0.1
"joins",0.1
"luis",0.1
"palms",0.1
"con",0.09
"dos",0.09
"regarded",0.09
"spanish",0.09
"active",0.08
"cruz",0.08
"fountains",0.08
"francisco",0.08
"jet",0.08
"spots",0.08
"das",0.07
"donated",0.07
"hikes",0.07
"la",0.07
"lined",0.07
"plaza",0.07
"rio",0.07
"surf",0.07
"verde",0.07
