"","chapel"
"church",0.18
"frescoes",0.13
"altar",0.12
"baroque",0.12
"built",0.11
"catholic",0.11
"christ",0.11
"saint",0.11
"convent",0.1
"hungarian",0.1
"lady",0.1
"parish",0.1
"building",0.09
"century",0.09
"hall",0.09
"meadow",0.09
"virgin",0.09
"bishop",0.08
"castle",0.08
"cemetery",0.08
"decorated",0.08
"exhibition",0.08
"facade",0.08
"former",0.08
"gothic",0.08
"mary",0.08
"nicholas",0.08
"oldest",0.08
"rebuilt",0.08
"tower",0.08
"walls",0.08
"basilica",0.07
"cathedral",0.07
"dated",0.07
"decorative",0.07
"holy",0.07
"painting",0.07
"paintings",0.07
"roman",0.07
