"","asking"
"money",0.15
"ask",0.14
"drivers",0.13
"foreigners",0.13
"know",0.13
"likely",0.13
"police",0.13
"avoid",0.12
"driver",0.12
"exchange",0.12
"keep",0.12
"pay",0.12
"usually",0.12
"accept",0.11
"expensive",0.11
"give",0.11
"insist",0.11
"someone",0.11
"try",0.11
"valid",0.11
"visa",0.11
"will",0.11
"able",0.1
"always",0.1
"beware",0.1
"buy",0.1
"buying",0.1
"cards",0.1
"cheap",0.1
"common",0.1
"currency",0.1
"embassy",0.1
"id",0.1
"illegal",0.1
"might",0.1
"notes",0.1
"passport",0.1
"paying",0.1
"prepaid",0.1
"price",0.1
"say",0.1
"security",0.1
"sim",0.1
"sometimes",0.1
"sure",0.1
"tell",0.1
"trying",0.1
"want",0.1
"without",0.1
"almost",0.09
"anything",0.09
"approached",0.09
"asked",0.09
"bottled",0.09
"card",0.09
"charge",0.09
"cheaper",0.09
"cost",0.09
"countries",0.09
"difficult",0.09
"driver's",0.09
"drugs",0.09
"even",0.09
"feel",0.09
"find",0.09
"foreign",0.09
"generally",0.09
"inflated",0.09
"least",0.09
"leave",0.09
"locals",0.09
"make",0.09
"may",0.09
"mosques",0.09
"often",0.09
"policy",0.09
"problem",0.09
"rate",0.09
"speak",0.09
"tipping",0.09
"unless",0.09
"visas",0.09
"worry",0.09
"'ll",0.08
"accepted",0.08
"anyone",0.08
"apply",0.08
"atms",0.08
"aware",0.08
"bags",0.08
"bargaining",0.08
"better",0.08
"bit",0.08
"careful",0.08
"carry",0.08
"check",0.08
"citizens",0.08
"consider",0.08
"desk",0.08
"done",0.08
"entering",0.08
"exception",0.08
"expect",0.08
"extra",0.08
"extremely",0.08
"foreigner",0.08
"fruit",0.08
"get",0.08
"getting",0.08
"hard",0.08
"help",0.08
"idea",0.08
"instead",0.08
"issue",0.08
"legal",0.08
"look",0.08
"luggage",0.08
"mind",0.08
"mobile",0.08
"never",0.08
"normal",0.08
"normally",0.08
"officers",0.08
"paid",0.08
"payment",0.08
"people",0.08
"phones",0.08
"prepared",0.08
"prices",0.08
"rarely",0.08
"really",0.08
"refuse",0.08
"require",0.08
"risk",0.08
"seem",0.08
"sell",0.08
"serious",0.08
"slightly",0.08
"something",0.08
"staff",0.08
"stay",0.08
"surprised",0.08
"taken",0.08
"taxis",0.08
"tend",0.08
"think",0.08
"though",0.08
"ticket",0.08
"wear",0.08
"wearing",0.08
"willing",0.08
"women",0.08
"'re",0.07
"'ve",0.07
"acceptable",0.07
"advance",0.07
"agree",0.07
"alcohol",0.07
"another",0.07
"applies",0.07
"assume",0.07
"attempt",0.07
"basic",0.07
"change",0.07
"charged",0.07
"charges",0.07
"coins",0.07
"credit",0.07
"dollars",0.07
"drink",0.07
"drinks",0.07
"fill",0.07
"finding",0.07
"giving",0.07
"go",0.07
"going",0.07
"higher",0.07
"insurance",0.07
"let",0.07
"much",0.07
"names",0.07
"offices",0.07
"official",0.07
"polite",0.07
"probably",0.07
"problems",0.07
"prove",0.07
"put",0.07
"report",0.07
"rule",0.07
"safe",0.07
"specific",0.07
"talking",0.07
"taxi",0.07
"tickets",0.07
"tips",0.07
"touts",0.07
"travellers",0.07
"typically",0.07
"use",0.07
"work",0.07
