"","menu"
"restaurant",0.26
"lunch",0.23
"dishes",0.21
"bar",0.2
"food",0.2
"selection",0.2
"dining",0.19
"dinner",0.19
"friendly",0.18
"sandwiches",0.18
"specials",0.17
"variety",0.16
"atmosphere",0.15
"breakfast",0.15
"chicken",0.15
"delicious",0.15
"italian",0.15
"salads",0.15
"casual",0.14
"chef",0.14
"free",0.14
"fresh",0.14
"gourmet",0.14
"great",0.14
"offers",0.14
"pizza",0.14
"prices",0.14
"serves",0.14
"staff",0.14
"beer",0.13
"cafe",0.13
"cuisine",0.13
"excellent",0.13
"extensive",0.13
"homemade",0.13
"live",0.13
"music",0.13
"open",0.13
"outdoor",0.13
"pub",0.13
"salad",0.13
"serving",0.13
"vegetarian",0.13
"beers",0.12
"burgers",0.12
"customers",0.12
"family",0.12
"featuring",0.12
"full",0.12
"good",0.12
"grill",0.12
"items",0.12
"meal",0.12
"night",0.12
"pasta",0.12
"patio",0.12
"pizzas",0.12
"priced",0.12
"quality",0.12
"su",0.12
"sushi",0.12
"authentic",0.11
"baked",0.11
"bistro",0.11
"buffet",0.11
"coffee",0.11
"course",0.11
"drinks",0.11
"eclectic",0.11
"favorite",0.11
"features",0.11
"fine",0.11
"happy",0.11
"offering",0.11
"reasonable",0.11
"right",0.11
"room",0.11
"sa",0.11
"seafood",0.11
"seating",0.11
"shop",0.11
"street",0.11
"style",0.11
"table",0.11
"tables",0.11
"upscale",0.11
"wide",0.11
"always",0.1
"american",0.1
"best",0.1
"classic",0.1
"cocktails",0.1
"corner",0.1
"cozy",0.1
"decor",0.1
"deli",0.1
"desserts",0.1
"downtown",0.1
"expensive",0.1
"friday",0.1
"fried",0.1
"fun",0.1
"includes",0.1
"including",0.1
"indoor",0.1
"kitchen",0.1
"large",0.1
"lounge",0.1
"nights",0.1
"offer",0.1
"owned",0.1
"parking",0.1
"place",0.1
"pool",0.1
"range",0.1
"rd",0.1
"relaxed",0.1
"serve",0.1
"something",0.1
"soups",0.1
"specialty",0.1
"steak",0.1
"store",0.1
"students",0.1
"tasty",0.1
"try",0.1
"vegan",0.1
"wine",0.1
"'re",0.09
"appetizers",0.09
"available",0.09
"avenue",0.09
"bakery",0.09
"beef",0.09
"bit",0.09
"block",0.09
"business",0.09
"cheap",0.09
"choice",0.09
"closed",0.09
"cocktail",0.09
"dance",0.09
"decent",0.09
"diner",0.09
"eat",0.09
"entrees",0.09
"evenings",0.09
"every",0.09
"everything",0.09
"f-sa",0.09
"favorites",0.09
"floor",0.09
"front",0.09
"fusion",0.09
"garden",0.09
"grilled",0.09
"internet",0.09
"intimate",0.09
"kids",0.09
"list",0.09
"location",0.09
"mains",0.09
"meals",0.09
"meat",0.09
"options",0.09
"order",0.09
"plus",0.09
"rooms",0.09
"saturday",0.09
"served",0.09
"shopping",0.09
"st",0.09
"steaks",0.09
"sunday",0.09
"well",0.09
"'ll",0.08
"'s",0.08
"ambiance",0.08
"art",0.08
"ave",0.08
"bars",0.08
"books",0.08
"boutique",0.08
"brunch",0.08
"building",0.08
"carte",0.08
"chain",0.08
"chefs",0.08
"clothing",0.08
"club",0.08
"cream",0.08
"creative",0.08
"crowd",0.08
"crust",0.08
"definitely",0.08
"dine",0.08
"drink",0.08
"eatery",0.08
"freshly",0.08
"fries",0.08
"hotel",0.08
"house",0.08
"ice",0.08
"include",0.08
"inn",0.08
"inside",0.08
"jazz",0.08
"late",0.08
"little",0.08
"local",0.08
"locations",0.08
"looking",0.08
"lunchtime",0.08
"mall",0.08
"menus",0.08
"mexican",0.08
"next",0.08
"nice",0.08
"outside",0.08
"owner",0.08
"popular",0.08
"portions",0.08
"prepared",0.08
"pricey",0.08
"quick",0.08
"ranging",0.08
"reasonably",0.08
"recently",0.08
"renovated",0.08
"rooftop",0.08
"sandwich",0.08
"service",0.08
"signature",0.08
"simple",0.08
"sit",0.08
"sit-",0.08
"slightly",0.08
"soup",0.08
"sports",0.08
"sure",0.08
"thai",0.08
"university",0.08
"upstairs",0.08
"value",0.08
"wednesday",0.08
"wifi",0.08
"wines",0.08
"asian",0.07
"bbq",0.07
"breakfasts",0.07
"burger",0.07
"children's",0.07
"chinese",0.07
"choose",0.07
"daily",0.07
"delivery",0.07
"end",0.07
"enjoy",0.07
"evening",0.07
"find",0.07
"fish",0.07
"fitness",0.07
"floors",0.07
"games",0.07
"hot",0.07
"just",0.07
"make",0.07
"monday",0.07
"monthly",0.07
"new",0.07
"organic",0.07
"owners",0.07
"pastas",0.07
"pastries",0.07
"plate",0.07
"price",0.07
"salsa",0.07
"seasonal",0.07
"selections",0.07
"sells",0.07
"show",0.07
"side",0.07
"start",0.07
"stores",0.07
"suites",0.07
"sun",0.07
"take-",0.07
"theatre",0.07
"thursday",0.07
"trendy",0.07
"unique",0.07
"usually",0.07
"varied",0.07
"vary",0.07
"watch",0.07
"week",0.07
"weekend",0.07
"worth",0.07
