"","office"
"post",0.34
"tourist",0.17
"ticket",0.15
"building",0.14
"tickets",0.12
"free",0.11
"internet",0.11
"offices",0.11
"stamp",0.11
"book",0.1
"next",0.1
"police",0.1
"ask",0.09
"bank",0.09
"behind",0.09
"booking",0.09
"bus",0.09
"buy",0.09
"closed",0.09
"exchange",0.09
"floor",0.09
"money",0.09
"opposite",0.09
"room",0.09
"station",0.09
"wi-fi",0.09
"advance",0.08
"atm",0.08
"atms",0.08
"available",0.08
"card",0.08
"cards",0.08
"cheaper",0.08
"contact",0.08
"cost",0.08
"days",0.08
"front",0.08
"hall",0.08
"leave",0.08
"m-f",0.08
"make",0.08
"map",0.08
"maps",0.08
"open",0.08
"passport",0.08
"pay",0.08
"per",0.08
"postal",0.08
"price",0.08
"rooms",0.08
"selling",0.08
"single",0.08
"terminal",0.08
"valid",0.08
"visa",0.08
"wifi",0.08
"without",0.08
"'ll",0.07
"budget",0.07
"centre",0.07
"change",0.07
"daily",0.07
"day",0.07
"driver",0.07
"exhibition",0.07
"foreigners",0.07
"friendly",0.07
"give",0.07
"may",0.07
"might",0.07
"need",0.07
"nice",0.07
"outside",0.07
"prices",0.07
"side",0.07
"staff",0.07
"walk",0.07
