"","morning"
"early",0.2
"afternoon",0.15
"evening",0.15
"leaves",0.12
"ask",0.11
"leave",0.11
"cost",0.1
"day",0.1
"depart",0.1
"every",0.1
"get",0.1
"hours",0.1
"night",0.1
"taxi",0.1
"will",0.1
"driver",0.09
"may",0.09
"might",0.09
"overnight",0.09
"pay",0.09
"price",0.09
"shared",0.09
"taxis",0.09
"time",0.09
"trip",0.09
"try",0.09
"usually",0.09
"without",0.09
"around",0.08
"arrange",0.08
"available",0.08
"bit",0.08
"bus",0.08
"buses",0.08
"can",0.08
"catch",0.08
"check",0.08
"departs",0.08
"departure",0.08
"depending",0.08
"even",0.08
"expensive",0.08
"journey",0.08
"late",0.08
"leaving",0.08
"make",0.08
"market",0.08
"next",0.08
"often",0.08
"per",0.08
"return",0.08
"room",0.08
"see",0.08
"sell",0.08
"sometimes",0.08
"start",0.08
"sure",0.08
"take",0.08
"ticket",0.08
"tour",0.08
"want",0.08
"always",0.07
"anywhere",0.07
"bargain",0.07
"cheap",0.07
"costs",0.07
"find",0.07
"food",0.07
"fresh",0.07
"front",0.07
"give",0.07
"go",0.07
"going",0.07
"least",0.07
"look",0.07
"need",0.07
"offer",0.07
"paying",0.07
"prices",0.07
"returning",0.07
"rooms",0.07
"stay",0.07
"takes",0.07
