"","bottled"
"tap",0.2
"water",0.15
"currency",0.14
"drink",0.14
"dollars",0.13
"visa",0.13
"drinks",0.12
"visas",0.12
"avoid",0.11
"carry",0.11
"cash",0.11
"citizens",0.11
"countries",0.11
"embassy",0.11
"often",0.11
"passport",0.11
"widely",0.11
"accepted",0.1
"beers",0.1
"common",0.1
"drivers",0.1
"money",0.1
"safe",0.1
"security",0.1
"soft",0.1
"usually",0.1
"accept",0.09
"alcohol",0.09
"always",0.09
"apply",0.09
"asking",0.09
"boiled",0.09
"buy",0.09
"buying",0.09
"cards",0.09
"drinking",0.09
"especially",0.09
"even",0.09
"exchange",0.09
"foreign",0.09
"generally",0.09
"government",0.09
"illegal",0.09
"laws",0.09
"legal",0.09
"may",0.09
"pay",0.09
"police",0.09
"respect",0.09
"risk",0.09
"sim",0.09
"sold",0.09
"sometimes",0.09
"sure",0.09
"advisable",0.08
"african",0.08
"alone",0.08
"ask",0.08
"atms",0.08
"aware",0.08
"beer",0.08
"bottles",0.08
"careful",0.08
"certain",0.08
"draft",0.08
"drugs",0.08
"expect",0.08
"health",0.08
"idea",0.08
"insist",0.08
"keep",0.08
"know",0.08
"languages",0.08
"made",0.08
"might",0.08
"obtain",0.08
"official",0.08
"prepaid",0.08
"price",0.08
"rate",0.08
"rule",0.08
"similar",0.08
"surprised",0.08
"taxis",0.08
"tipping",0.08
"use",0.08
"vendors",0.08
"without",0.08
"airways",0.07
"alcoholic",0.07
"although",0.07
"anything",0.07
"arrival",0.07
"bills",0.07
"card",0.07
"cases",0.07
"cold",0.07
"credit",0.07
"crime",0.07
"driver",0.07
"due",0.07
"expensive",0.07
"extremely",0.07
"foreigners",0.07
"however",0.07
"imported",0.07
"issued",0.07
"likely",0.07
"luggage",0.07
"never",0.07
"notes",0.07
"others",0.07
"paying",0.07
"payment",0.07
"people",0.07
"persian",0.07
"purchased",0.07
"refuse",0.07
"require",0.07
"required",0.07
"situation",0.07
"treated",0.07
"wear",0.07
"will",0.07
"women",0.07
