"","mosaic"
"excavated",0.24
"floor",0.16
"basilica",0.14
"depicting",0.14
"roman",0.12
"decorative",0.1
"represent",0.1
"ruins",0.08
"scenes",0.08
"traces",0.08
"blend",0.07
"inscribed",0.07
"muslim",0.07
"signed",0.07
"site",0.07
