"","diner"
"ave",0.15
"pizza",0.13
"st",0.13
"breakfast",0.12
"burgers",0.12
"inn",0.12
"phone",0.12
"york",0.12
"american",0.11
"avenue",0.11
"deli",0.11
"lunch",0.11
"rd",0.11
"restaurant",0.11
"street",0.11
"classic",0.1
"dining",0.1
"downtown",0.1
"family",0.1
"grill",0.1
"pike",0.1
"specials",0.1
"bar",0.09
"favorite",0.09
"menu",0.09
"mexican",0.09
"basketball",0.08
"boston",0.08
"casual",0.08
"entrees",0.08
"exit",0.08
"features",0.08
"food",0.08
"great",0.08
"indoor",0.08
"interstate",0.08
"italian",0.08
"library",0.08
"miles",0.08
"motel",0.08
"new",0.08
"open",0.08
"portions",0.08
"route",0.08
"su",0.08
"suites",0.08
"upscale",0.08
"blvd",0.07
"burger",0.07
"cafe",0.07
"county",0.07
"cream",0.07
"dinner",0.07
"dr",0.07
"f-sa",0.07
"grille",0.07
"historic",0.07
"house",0.07
"ice",0.07
"mall",0.07
"mile",0.07
"outdoor",0.07
"park",0.07
"sandwiches",0.07
"store",0.07
