"","driver"
"ask",0.3
"drivers",0.26
"taxi",0.26
"negotiate",0.24
"pay",0.24
"tell",0.23
"price",0.2
"taxis",0.2
"cost",0.19
"know",0.19
"fare",0.18
"will",0.18
"may",0.17
"usually",0.17
"charge",0.16
"cheap",0.16
"expensive",0.16
"money",0.16
"sure",0.16
"wait",0.16
"want",0.16
"agree",0.15
"avoid",0.15
"expect",0.15
"foreign",0.15
"get",0.15
"insist",0.15
"paying",0.15
"prices",0.15
"trip",0.15
"better",0.14
"buy",0.14
"cheaper",0.14
"costs",0.14
"drop",0.14
"getting",0.14
"make",0.14
"police",0.14
"ticket",0.14
"try",0.14
"accept",0.13
"always",0.13
"arrange",0.13
"atms",0.13
"bargain",0.13
"bus",0.13
"buses",0.13
"card",0.13
"currency",0.13
"depending",0.13
"exchange",0.13
"find",0.13
"fixed",0.13
"give",0.13
"go",0.13
"leave",0.13
"metered",0.13
"need",0.13
"passengers",0.13
"per",0.13
"rate",0.13
"ride",0.13
"visa",0.13
"without",0.13
"asking",0.12
"budget",0.12
"buying",0.12
"cards",0.12
"even",0.12
"fee",0.12
"foreigners",0.12
"help",0.12
"hiring",0.12
"let",0.12
"luggage",0.12
"might",0.12
"often",0.12
"passport",0.12
"payment",0.12
"pick",0.12
"probably",0.12
"refuse",0.12
"say",0.12
"sim",0.12
"sometimes",0.12
"speak",0.12
"stop",0.12
"take",0.12
"tickets",0.12
"'re",0.11
"able",0.11
"advisable",0.11
"another",0.11
"cheapest",0.11
"clean",0.11
"common",0.11
"difficult",0.11
"english",0.11
"going",0.11
"hail",0.11
"higher",0.11
"inside",0.11
"less",0.11
"likely",0.11
"locals",0.11
"look",0.11
"minibus",0.11
"motorbike",0.11
"note",0.11
"option",0.11
"paid",0.11
"person",0.11
"prepaid",0.11
"return",0.11
"sell",0.11
"simply",0.11
"someone",0.11
"terminal",0.11
"touts",0.11
"travel",0.11
"unless",0.11
"use",0.11
"using",0.11
"waiting",0.11
"although",0.1
"atm",0.1
"aware",0.1
"basic",0.1
"beware",0.1
