"","journey"
"takes",0.21
"costs",0.15
"buses",0.14
"bus",0.13
"time",0.13
"cost",0.12
"hours",0.12
"journeys",0.12
"return",0.12
"ticket",0.12
"departure",0.11
"hour",0.11
"leave",0.11
"trains",0.11
"direct",0.1
"operate",0.1
"taking",0.1
"travel",0.1
"centre",0.09
"change",0.09
"depart",0.09
"depending",0.09
"may",0.09
"passengers",0.09
"pay",0.09
"per",0.09
"services",0.09
"station",0.09
"tickets",0.09
"train",0.09
"although",0.08
"around",0.08
"booking",0.08
"can",0.08
"cheaper",0.08
"companies",0.08
"costing",0.08
"departs",0.08
"distance",0.08
"driver",0.08
"every",0.08
"expect",0.08
"london",0.08
"longer",0.08
"make",0.08
"minutes",0.08
"morning",0.08
"opposite",0.08
"price",0.08
"railway",0.08
"regular",0.08
"short",0.08
"take",0.08
"taxi",0.08
"taxis",0.08
"transport",0.08
"travellers",0.08
"travelling",0.08
"trip",0.08
"usually",0.08
"will",0.08
"advance",0.07
"arriving",0.07
"book",0.07
"booked",0.07
"charge",0.07
"day",0.07
"departures",0.07
"drivers",0.07
"however",0.07
"least",0.07
"leaves",0.07
"operated",0.07
"operates",0.07
"reach",0.07
"run",0.07
"terminal",0.07
"times",0.07
"tourist",0.07
"two",0.07
"using",0.07
"worth",0.07
