"","things"
"find",0.12
"keep",0.11
"like",0.11
"really",0.11
"see",0.11
"'re",0.1
"always",0.1
"buy",0.1
"drink",0.1
"know",0.1
"lot",0.1
"many",0.1
"places",0.1
"something",0.1
"usually",0.1
"want",0.1
"ask",0.09
"avoid",0.09
"cheaper",0.09
"even",0.09
"expensive",0.09
"get",0.09
"go",0.09
"little",0.09
"make",0.09
"much",0.09
"people",0.09
"plenty",0.09
"price",0.09
"someone",0.09
"sometimes",0.09
"sure",0.09
"try",0.09
"'s",0.08
"almost",0.08
"bars",0.08
"best",0.08
"better",0.08
"big",0.08
"can",0.08
"come",0.08
"definitely",0.08
"different",0.08
"everything",0.08
"extremely",0.08
"food",0.08
"fun",0.08
"generally",0.08
"getting",0.08
"hard",0.08
"looking",0.08
"might",0.08
"money",0.08
"need",0.08
"outside",0.08
"pay",0.08
"place",0.08
"prices",0.08
"probably",0.08
"remember",0.08
"sell",0.08
"spend",0.08
"stay",0.08
"stores",0.08
"time",0.08
"will",0.08
"without",0.08
"another",0.07
"anything",0.07
"check",0.07
"drinks",0.07
"eat",0.07
"everyone",0.07
"expect",0.07
"feel",0.07
"give",0.07
"good",0.07
"great",0.07
"just",0.07
"look",0.07
"lots",0.07
"may",0.07
"mind",0.07
"must",0.07
"nice",0.07
"night",0.07
"often",0.07
"quite",0.07
"safe",0.07
"shops",0.07
"thing",0.07
"work",0.07
