"","wi-fi"
"free",0.24
"internet",0.24
"rooms",0.15
"lcd",0.13
"air-con",0.12
"computers",0.12
"equipped",0.12
"pets",0.12
"room",0.12
"tv",0.12
"cable",0.11
"laundry",0.11
"staff",0.11
"breakfast",0.1
"cards",0.1
"massage",0.1
"baht",0.09
"bangkok",0.09
"bathroom",0.09
"clean",0.09
"computer",0.09
"corner",0.09
"dorm",0.09
"double",0.09
"exchange",0.09
"hotel",0.09
"included",0.09
"library",0.09
"office",0.09
"pay",0.09
"prices",0.09
"rates",0.09
"restaurant",0.09
"rooftop",0.09
"start",0.09
"thai",0.09
"toilet",0.09
"air",0.08
"asia",0.08
"atm",0.08
"block",0.08
"book",0.08
"business",0.08
"charge",0.08
"cheaper",0.08
"coffee",0.08
"deposit",0.08
"driver",0.08
"expensive",0.08
"fan",0.08
"floor",0.08
"friendly",0.08
"front",0.08
"guesthouse",0.08
"helpful",0.08
"lounge",0.08
"market",0.08
"mobile",0.08
"money",0.08
"motorbike",0.08
"night",0.08
"offer",0.08
"owner",0.08
"pool",0.08
"private",0.08
"public",0.08
"rd",0.08
"satellite",0.08
"shared",0.08
"vip",0.08
"website",0.08
"atms",0.07
"building",0.07
"card",0.07
"cheap",0.07
"kitchen",0.07
"plaza",0.07
"price",0.07
"quiet",0.07
"sa",0.07
"shower",0.07
"sim",0.07
"ticket",0.07
