"","castle"
"castles",0.21
"castle'''",0.2
"medieval",0.18
"century",0.17
"baroque",0.14
"church",0.14
"ruins",0.14
"built",0.13
"tower",0.12
"abbey",0.11
"centre",0.11
"gothic",0.11
"norman",0.11
"train",0.11
"exhibition",0.1
"rebuilt",0.1
"roman",0.1
"ruin",0.1
"scottish",0.1
"trains",0.1
"motorway",0.09
"old",0.09
"chapel",0.08
"czech",0.08
"former",0.08
"houses",0.08
"imposing",0.08
"museum",0.08
"parish",0.08
"preserved",0.08
"pubs",0.08
"ruined",0.08
"shinkansen",0.08
"town",0.08
"walls",0.08
"duke",0.07
"germany",0.07
"grounds",0.07
"history",0.07
"modern",0.07
"towers",0.07
"von",0.07
"wales",0.07
"walk",0.07
