"","statues"
"buddha",0.21
"statue",0.16
"buddhist",0.12
"pagoda",0.12
"sculptures",0.12
"temple",0.1
"carved",0.09
"dedicated",0.08
"images",0.08
"temples",0.08
"bronze",0.07
"giant",0.07
"stone",0.07
