"","convention"
"bureau",0.2
"downtown",0.13
"marriott",0.13
"suites",0.13
"arts",0.12
"avenue",0.12
"american",0.11
"ave",0.11
"college",0.11
"art",0.1
"blvd",0.1
"business",0.1
"center",0.1
"featuring",0.1
"mall",0.1
"university",0.1
"broadway",0.09
"campus",0.09
"dr",0.09
"events",0.09
"features",0.09
"indoor",0.09
"inn",0.09
"st",0.09
"united",0.09
"upscale",0.09
"-room",0.08
"arena",0.08
"city's",0.08
"dining",0.08
"executive",0.08
"exhibits",0.08
"fitness",0.08
"free",0.08
"gay",0.08
"grill",0.08
"league",0.08
"live",0.08
"meeting",0.08
"men's",0.08
"outdoor",0.08
"performing",0.08
"plays",0.08
"science",0.08
"shopping",0.08
"signature",0.08
"steakhouse",0.08
"street",0.08
"theater",0.08
"venues",0.08
"calendar",0.07
"capitol",0.07
"chicago",0.07
"community",0.07
"event",0.07
"held",0.07
"jazz",0.07
"performers",0.07
"phone",0.07
"plaza",0.07
"rd",0.07
"seniors",0.07
"stadium",0.07
"symphony",0.07
"transit",0.07
"wireless",0.07
