"","verde"
"da",0.14
"rio",0.13
"de",0.12
"dos",0.11
"costa",0.1
"das",0.1
"pedro",0.1
"puerto",0.09
"africa",0.08
"centro",0.08
"con",0.08
"lobby",0.08
"santa",0.08
"santo",0.08
"cape",0.07
"miguel",0.07
