"","theft"
"petty",0.29
"valuables",0.16
"violent",0.15
"crime",0.14
"report",0.13
"currency",0.12
"police",0.12
"avoid",0.1
"risk",0.1
"safe",0.1
"laws",0.09
"party",0.09
"violence",0.09
"-called",0.08
"areas",0.08
"belongings",0.08
"cards",0.08
"caution",0.08
"certain",0.08
"cheaper",0.08
"common",0.08
"criminal",0.08
"drivers",0.08
"generally",0.08
"insurance",0.08
"keep",0.08
"larger",0.08
"money",0.08
"often",0.08
"pay",0.08
"problems",0.08
"rarely",0.08
"safest",0.08
"security",0.08
"traffic",0.08
"uncommon",0.08
"unheard",0.08
"unless",0.08
"accept",0.07
"african",0.07
"almost",0.07
"always",0.07
"card",0.07
"careful",0.07
"especially",0.07
"expensive",0.07
"freely",0.07
"hospitals",0.07
"insist",0.07
"law",0.07
"legal",0.07
"movement",0.07
"rates",0.07
