"","du"
"rue",0.55
"des",0.49
"le",0.35
"et",0.31
"les",0.28
"de",0.26
"french",0.25
"la",0.24
"paris",0.22
"france",0.2
"jean",0.19
"au",0.16
"saint",0.15
"boulevard",0.1
"'''la",0.09
"classified",0.08
"sur",0.08
"louis",0.07
"paul",0.07
