"","train"
"station",0.43
"trains",0.35
"bus",0.24
"railway",0.21
"line",0.2
"ticket",0.17
"tickets",0.16
"direct",0.15
"stations",0.14
"buses",0.13
"change",0.13
"stops",0.13
"take",0.13
"takes",0.13
"every",0.12
"express",0.12
"jr",0.12
"minutes",0.12
"rail",0.12
"stop",0.12
"can",0.11
"castle",0.11
"centre",0.11
"city",0.11
"connection",0.11
"costs",0.11
"hours",0.11
"walk",0.11
"arrives",0.1
"intercity",0.1
"japan",0.1
"lines",0.1
"moscow",0.1
"next",0.1
"railways",0.1
"reach",0.1
"run",0.1
"services",0.1
"shinkansen",0.1
"tram",0.1
"bought",0.09
"car",0.09
"cities",0.09
"germany",0.09
"get",0.09
"hour",0.09
"journey",0.09
"medieval",0.09
"motorway",0.09
"service",0.09
"timetable",0.09
"airport",0.08
"also",0.08
"coach",0.08
"connect",0.08
"connecting",0.08
"easily",0.08
"frequent",0.08
"hourly",0.08
"london",0.08
"map",0.08
"museum",0.08
"old",0.08
"reached",0.08
"regular",0.08
"ride",0.08
"runs",0.08
"sleeper",0.08
"steam",0.08
"tokyo",0.08
"amsterdam",0.07
"around",0.07
"baroque",0.07
"building",0.07
"card",0.07
"cost",0.07
"depart",0.07
"european",0.07
"german",0.07
"machines",0.07
"pedestrian",0.07
"pubs",0.07
"times",0.07
"transport",0.07
