"","mall"
"shopping",0.33
"malls",0.26
"stores",0.19
"downtown",0.18
"ave",0.15
"avenue",0.15
"business",0.15
"center",0.15
"inn",0.15
"movie",0.15
"anchored",0.14
"blvd",0.14
"fitness",0.14
"mall'''",0.14
"rd",0.14
"chain",0.13
"food",0.13
"grill",0.13
"marriott",0.13
"plaza",0.13
"suites",0.13
"court",0.12
"indoor",0.12
"metro",0.12
"outlet",0.12
"restaurant",0.12
"stadium",0.12
"street",0.12
"transit",0.12
"upscale",0.12
"variety",0.12
"american",0.11
"cinemas",0.11
"club",0.11
"dining",0.11
"dr",0.11
"outlets",0.11
"park",0.11
"pizza",0.11
"sports",0.11
"university",0.11
"asian",0.1
"bar",0.1
"boulevard",0.1
"campus",0.1
"college",0.1
"convention",0.1
"corner",0.1
"exit",0.1
"features",0.1
"free",0.1
"interstate",0.1
"outdoor",0.1
"retail",0.1
"st",0.1
"steakhouse",0.1
"store",0.1
"theater",0.1
"amusement",0.09
"baseball",0.09
"city",0.09
"city's",0.09
"featuring",0.09
"fun",0.09
"italian",0.09
"live",0.09
"located",0.09
"lounge",0.09
"music",0.09
"new",0.09
"opened",0.09
"routes",0.09
"shoppers",0.09
"skating",0.09
"specialty",0.09
"strip",0.09
"su",0.09
"suburb",0.09
"sushi",0.09
"theaters",0.09
"york",0.09
"affordable",0.08
"airport",0.08
"america",0.08
"art",0.08
"arts",0.08
"authentic",0.08
"branch",0.08
"buffet",0.08
"burger",0.08
"cable",0.08
"cinema",0.08
"coffee",0.08
"commercial",0.08
"cuisine",0.08
"department",0.08
"drive",0.08
"fare",0.08
"fast",0.08
"floor",0.08
"freeway",0.08
"friday",0.08
"games",0.08
"hilton",0.08
"hockey",0.08
"jazz",0.08
"locations",0.08
"lunch",0.08
"menu",0.08
"metered",0.08
"offers",0.08
"pa",0.08
"pedestrian",0.08
"penn",0.08
"phone",0.08
"pkwy",0.08
"pub",0.08
"public",0.08
"rink",0.08
"roller",0.08
"selection",0.08
"service",0.08
"shops",0.08
"sporting",0.08
"square",0.08
"steaks",0.08
"suburban",0.08
"amtrak",0.07
"best",0.07
"chicken",0.07
"chinese",0.07
"clothing",0.07
"diner",0.07
"electronic",0.07
"enclosed",0.07
"exhibits",0.07
"express",0.07
"f-sa",0.07
"fashion",0.07
"garden",0.07
"great",0.07
"grove",0.07
"hosts",0.07
"include",0.07
"largest",0.07
"mexican",0.07
"parking",0.07
"parkway",0.07
"retailers",0.07
"saturday",0.07
"science",0.07
"serves",0.07
"serving",0.07
"steak",0.07
"suite",0.07
"theatre",0.07
"traffic",0.07
"wireless",0.07
"zoo",0.07
