"","sell"
"buy",0.17
"vendors",0.17
"card",0.16
"credit",0.16
"prices",0.16
"tickets",0.16
"shops",0.15
"ask",0.14
"bought",0.14
"pay",0.14
"cost",0.13
"expensive",0.13
"price",0.13
"try",0.13
"want",0.13
"will",0.13
"cheap",0.12
"exchange",0.12
"expect",0.12
"look",0.12
"make",0.12
"money",0.12
"paying",0.12
"selling",0.12
"ticket",0.12
"usually",0.12
"'s",0.11
"alcohol",0.11
"always",0.11
"anything",0.11
"avoid",0.11
"buying",0.11
"cheaper",0.11
"drinks",0.11
"driver",0.11
"drivers",0.11
"even",0.11
"find",0.11
"food",0.11
"get",0.11
"give",0.11
"like",0.11
"might",0.11
"need",0.11
"often",0.11
"sold",0.11
"sometimes",0.11
"staff",0.11
"stalls",0.11
"stores",0.11
"sure",0.11
"better",0.1
"bit",0.1
"charge",0.1
"costs",0.1
"different",0.1
"drink",0.1
"generally",0.1
"go",0.1
"good",0.1
"inside",0.1
"items",0.1
"know",0.1
"locals",0.1
"much",0.1
"note",0.1
"offer",0.1
"probably",0.1
"say",0.1
"sells",0.1
"serve",0.1
"wait",0.1
"without",0.1
"women",0.1
"'re",0.09
"able",0.09
"accept",0.09
"back",0.09
"bags",0.09
"bars",0.09
"beware",0.09
"book",0.09
"bottles",0.09
"can",0.09
"cards",0.09
"cash",0.09
"check",0.09
"clean",0.09
"come",0.09
"common",0.09
"currency",0.09
"decent",0.09
"depending",0.09
"dollars",0.09
"especially",0.09
"everything",0.09
"fee",0.09
"foreign",0.09
"foreigners",0.09
"found",0.09
"fried",0.09
"friendly",0.09
"helpful",0.09
"higher",0.09
"insist",0.09
"keep",0.09
"least",0.09
"leave",0.09
"likely",0.09
"made",0.09
"markets",0.09
"may",0.09
"night",0.09
"order",0.09
"outside",0.09
"passport",0.09
"people",0.09
"police",0.09
"quality",0.09
"quite",0.09
"really",0.09
"remember",0.09
"ride",0.09
"rooms",0.09
"safe",0.09
"taxi",0.09
"trying",0.09
"usd",0.09
"visa",0.09
"'ll",0.08
"allow",0.08
"almost",0.08
"although",0.08
"another",0.08
"anyone",0.08
"around",0.08
"asked",0.08
"asking",0.08
"atms",0.08
"aware",0.08
"bargain",0.08
"bargaining",0.08
"beer",0.08
"best",0.08
"bottle",0.08
"bring",0.08
"cafes",0.08
"carry",0.08
"cheapest",0.08
"choose",0.08
"coffee",0.08
"companies",0.08
"day",0.08
"difficult",0.08
"drinking",0.08
"eat",0.08
"extra",0.08
"fare",0.08
"feel",0.08
"fresh",0.08
"getting",0.08
"goods",0.08
"hard",0.08
"help",0.08
"hotels",0.08
"idea",0.08
"illegal",0.08
"internet",0.08
"just",0.08
"less",0.08
"little",0.08
"local",0.08
"looking",0.08
"lot",0.08
"lots",0.08
"low",0.08
"market",0.08
"meal",0.08
"meat",0.08
"morning",0.08
"motorbike",0.08
"must",0.08
"never",0.08
"next",0.08
"option",0.08
"organized",0.08
"passengers",0.08
"per",0.08
"person",0.08
"pick",0.08
"places",0.08
"plenty",0.08
"prepaid",0.08
"prepared",0.08
"purchase",0.08
"rate",0.08
"read",0.08
"reasonable",0.08
"refuse",0.08
"room",0.08
"search",0.08
"seem",0.08
"shop",0.08
"similar",0.08
"simply",0.08
"sit",0.08
"someone",0.08
"stay",0.08
"still",0.08
"streets",0.08
"t-shirts",0.08
"taxis",0.08
"tend",0.08
"things",0.08
"tourists",0.08
"touts",0.08
"trip",0.08
"typical",0.08
"typically",0.08
"unless",0.08
"use",0.08
"vendor",0.08
"waiting",0.08
"walk",0.08
"work",0.08
"agree",0.07
"alcoholic",0.07
"anywhere",0.07
"basic",0.07
"behind",0.07
"bread",0.07
"budget",0.07
"careful",0.07
"certain",0.07
"clothing",0.07
"compared",0.07
"consider",0.07
"customers",0.07
"dishes",0.07
"drop",0.07
"either",0.07
"else",0.07
"english",0.07
"entry",0.07
"except",0.07
"free",0.07
"front",0.07
"fruit",0.07
"going",0.07
"hand",0.07
"happy",0.07
"let",0.07
"machines",0.07
"men",0.07
"negotiate",0.07
"nice",0.07
"normal",0.07
"notes",0.07
"paid",0.07
"plan",0.07
"plastic",0.07
"polite",0.07
"problem",0.07
"rarely",0.07
"rates",0.07
"return",0.07
"right",0.07
"security",0.07
"see",0.07
"seems",0.07
"selection",0.07
"sim",0.07
"soft",0.07
"something",0.07
"souvenir",0.07
"souvenirs",0.07
"take",0.07
"tell",0.07
"though",0.07
"time",0.07
"tipping",0.07
"worth",0.07
