"","basketball"
"tennis",0.26
"baseball",0.22
"courts",0.19
"playground",0.19
"men's",0.16
"soccer",0.16
"volleyball",0.16
"league",0.15
"teams",0.14
"games",0.13
"horseshoe",0.13
"picnic",0.13
"concession",0.12
"indoor",0.12
"athletic",0.11
"football",0.11
"hockey",0.11
"park",0.11
"sports",0.11
"arena",0.1
"outdoor",0.1
"park'''",0.1
"play",0.1
"skate",0.1
"american",0.09
"campus",0.09
"dining",0.09
"features",0.09
"field",0.09
"fields",0.09
"fitness",0.09
"ohio",0.09
"parks",0.09
"pet",0.09
"acre",0.08
"acres",0.08
"america's",0.08
"ave",0.08
"avenue",0.08
"blind",0.08
"college",0.08
"county",0.08
"deli",0.08
"diner",0.08
"downtown",0.08
"events",0.08
"flags",0.08
"game",0.08
"ice",0.08
"movie",0.08
"pizza",0.08
"primitive",0.08
"pro",0.08
"school",0.08
"skating",0.08
"state",0.08
"suites",0.08
"tavern",0.08
"theater",0.08
"theaters",0.08
"university",0.08
"arts",0.07
"center",0.07
"community",0.07
"corner",0.07
"liberal",0.07
"meeting",0.07
"miles",0.07
"snack",0.07
"sporting",0.07
"team",0.07
"united",0.07
"women's",0.07
"york",0.07
