"","sealed"
"australia",0.12
"australian",0.12
"gravel",0.1
"herbs",0.1
"licence",0.1
"saltwater",0.1
"aboriginal",0.09
"fuel",0.09
"spices",0.09
"wetlands",0.09
"caravan",0.08
"default",0.08
"wet",0.08
"kilometres",0.07
"road",0.07
"snowy",0.07
