"","quality"
"good",0.18
"food",0.17
"high",0.16
"excellent",0.15
"price",0.13
"prices",0.13
"best",0.12
"cheap",0.12
"expensive",0.12
"menu",0.12
"offer",0.12
"selection",0.12
"always",0.11
"better",0.11
"find",0.11
"like",0.11
"night",0.11
"often",0.11
"range",0.11
"restaurant",0.11
"variety",0.11
"bars",0.1
"beer",0.1
"dishes",0.1
"even",0.1
"expect",0.1
"friendly",0.1
"generally",0.1
"great",0.1
"meal",0.1
"music",0.1
"offers",0.1
"pay",0.1
"reasonable",0.1
"shops",0.1
"staff",0.1
"standard",0.1
"try",0.1
"usually",0.1
"value",0.1
"affordable",0.09
"although",0.09
"average",0.09
"avoid",0.09
"bit",0.09
"budget",0.09
"buy",0.09
"cheaper",0.09
"clubs",0.09
"coffee",0.09
"cuisine",0.09
"especially",0.09
"european",0.09
"fast",0.09
"hotels",0.09
"internet",0.09
"italian",0.09
"know",0.09
"locals",0.09
"make",0.09
"meat",0.09
"money",0.09
"number",0.09
"offering",0.09
"places",0.09
"rate",0.09
"real",0.09
"recent",0.09
"sell",0.09
"shop",0.09
"slightly",0.09
"sometimes",0.09
"vegetarian",0.09
"want",0.09
"well",0.09
"wide",0.09
"wine",0.09
"wines",0.09
"'re",0.08
"anything",0.08
"ask",0.08
"atmosphere",0.08
"authentic",0.08
"available",0.08
"aware",0.08
"bar",0.08
"behind",0.08
"book",0.08
"boutique",0.08
"charge",0.08
"check",0.08
"choice",0.08
"clean",0.08
"companies",0.08
"day",0.08
"decent",0.08
"difficult",0.08
"drink",0.08
"drinks",0.08
"drivers",0.08
"due",0.08
"easy",0.08
"every",0.08
"exchange",0.08
"fantastic",0.08
"feel",0.08
"found",0.08
"free",0.08
"fresh",0.08
"full",0.08
"hand",0.08
"higher",0.08
"highly",0.08
"hotel",0.08
"including",0.08
"less",0.08
"look",0.08
"looking",0.08
"lunch",0.08
"many",0.08
"may",0.08
"modern",0.08
"much",0.08
"nice",0.08
"open",0.08
"outside",0.08
"parking",0.08
"particular",0.08
"paying",0.08
"place",0.08
"popular",0.08
"products",0.08
"quite",0.08
"remember",0.08
"room",0.08
"rooms",0.08
"seating",0.08
"shopping",0.08
"students",0.08
"sure",0.08
"table",0.08
"tasty",0.08
"use",0.08
"using",0.08
"vary",0.08
"without",0.08
"work",0.08
"worth",0.08
"'ll",0.07
"'s",0.07
"accept",0.07
"beware",0.07
"call",0.07
"chinese",0.07
"classes",0.07
"close",0.07
"courses",0.07
"crowded",0.07
"customers",0.07
"delicious",0.07
"different",0.07
"drinking",0.07
"english",0.07
"extra",0.07
"extremely",0.07
"family",0.07
"fine",0.07
"formal",0.07
"given",0.07
"increasing",0.07
"items",0.07
"keep",0.07
"little",0.07
"lots",0.07
"low",0.07
"made",0.07
"market",0.07
"might",0.07
"never",0.07
"nights",0.07
"opposite",0.07
"order",0.07
"plenty",0.07
"pricey",0.07
"provide",0.07
"quiet",0.07
"really",0.07
"reputation",0.07
"serves",0.07
"service",0.07
"set",0.07
"special",0.07
"standards",0.07
"start",0.07
"stores",0.07
"streets",0.07
"student",0.07
"tap",0.07
"taste",0.07
"tend",0.07
"though",0.07
"throughout",0.07
"tickets",0.07
"top",0.07
"traffic",0.07
"warm",0.07
"will",0.07
