"","inside"
"card",0.15
"credit",0.15
"tickets",0.14
"outside",0.13
"bought",0.12
"search",0.12
"ticket",0.12
"walls",0.12
"driver",0.11
"entrance",0.11
"ask",0.1
"find",0.1
"like",0.1
"next",0.1
"pay",0.1
"sell",0.1
"always",0.09
"another",0.09
"building",0.09
"buses",0.09
"buy",0.09
"cost",0.09
"decorated",0.09
"different",0.09
"floor",0.09
"front",0.09
"good",0.09
"look",0.09
"might",0.09
"need",0.09
"organized",0.09
"room",0.09
"shops",0.09
"style",0.09
"taxi",0.09
"try",0.09
"use",0.09
"without",0.09
"bus",0.08
"cards",0.08
"cheap",0.08
"check",0.08
"directly",0.08
"dishes",0.08
"drivers",0.08
"entry",0.08
"especially",0.08
"fare",0.08
"food",0.08
"free",0.08
"gate",0.08
"get",0.08
"go",0.08
"internet",0.08
"just",0.08
"kind",0.08
"know",0.08
"made",0.08
"make",0.08
"menu",0.08
"modern",0.08
"money",0.08
"nice",0.08
"order",0.08
"place",0.08
"places",0.08
"price",0.08
"right",0.08
"rooms",0.08
"see",0.08
"serve",0.08
"serves",0.08
"staff",0.08
"stand",0.08
"sure",0.08
"tables",0.08
"usually",0.08
"vegetarian",0.08
"walk",0.08
"want",0.08
"will",0.08
"allowed",0.07
"avoid",0.07
"back",0.07
"basement",0.07
"behind",0.07
"bit",0.07
"built",0.07
"charge",0.07
"cheaper",0.07
"clean",0.07
"dark",0.07
"electronic",0.07
"enter",0.07
"every",0.07
"expensive",0.07
"feel",0.07
"machines",0.07
"may",0.07
"note",0.07
"parking",0.07
"queue",0.07
"restaurant",0.07
"ride",0.07
"safe",0.07
"shopping",0.07
"side",0.07
"special",0.07
"square",0.07
"stop",0.07
"streets",0.07
"time",0.07
"view",0.07
