"","find"
"will",0.33
"'ll",0.24
"can",0.24
"ask",0.19
"get",0.18
"go",0.18
"like",0.18
"try",0.18
"even",0.17
"lot",0.17
"make",0.17
"might",0.17
"want",0.17
"'re",0.16
"'s",0.16
"always",0.16
"buy",0.16
"expensive",0.16
"good",0.16
"hard",0.16
"may",0.16
"people",0.16
"prices",0.16
"sure",0.16
"usually",0.16
"bars",0.15
"best",0.15
"especially",0.15
"expect",0.15
"food",0.15
"locals",0.15
"need",0.15
"nice",0.15
"place",0.15
"really",0.15
"see",0.15
"able",0.14
"avoid",0.14
"cheap",0.14
"check",0.14
"just",0.14
"know",0.14
"look",0.14
"money",0.14
"offer",0.14
"pay",0.14
"places",0.14
"price",0.14
"quite",0.14
"time",0.14
"almost",0.13
"also",0.13
"another",0.13
"anything",0.13
"better",0.13
"big",0.13
"bit",0.13
"different",0.13
"difficult",0.13
"drink",0.13
"driver",0.13
"enjoy",0.13
"hotels",0.13
"keep",0.13
"little",0.13
"many",0.13
"much",0.13
"night",0.13
"often",0.13
"probably",0.13
"sometimes",0.13
"visit",0.13
"way",0.13
"without",0.13
"around",0.12
"cost",0.12
"drinks",0.12
"foreign",0.12
"found",0.12
"give",0.12
"looking",0.12
"one",0.12
"plenty",0.12
"shops",0.12
"something",0.12
"stay",0.12
"take",0.12
"taxi",0.12
"taxis",0.12
"things",0.12
"worth",0.12
"aware",0.11
"back",0.11
"called",0.11
"cheaper",0.11
"cheapest",0.11
"come",0.11
"crowded",0.11
"decent",0.11
"dishes",0.11
"drivers",0.11
"easy",0.11
"either",0.11
"every",0.11
"feel",0.11
"friendly",0.11
"generally",0.11
"help",0.11
"least",0.11
"likely",0.11
"miss",0.11
"modern",0.11
"next",0.11
"outside",0.11
"quality",0.11
"right",0.11
"safe",0.11
"sell",0.11
"speak",0.11
"still",0.11
"stores",0.11
"streets",0.11
"tend",0.11
"ticket",0.11
"tourists",0.11
"unless",0.11
"use",0.11
"variety",0.11
"walk",0.11
"although",0.1
"anywhere",0.1
"beautiful",0.1
"beer",0.1
"budget",0.1
"cafes",0.1
"cards",0.1
"careful",0.1
"charge",0.1
"clubs",0.1
"common",0.1
"consider",0.1
"depending",0.1
"eat",0.1
"english",0.1
"everything",0.1
"excellent",0.1
"far",0.1
"getting",0.1
"going",0.1
"great",0.1
"inside",0.1
"internet",0.1
"leave",0.1
"let",0.1
"local",0.1
"lots",0.1
"meal",0.1
"meat",0.1
"order",0.1
"others",0.1
"plan",0.1
"police",0.1
"problem",0.1
"rather",0.1
"remember",0.1
"rent",0.1
"someone",0.1
"staff",0.1
"start",0.1
"taste",0.1
"tell",0.1
"well",0.1
"whether",0.1
"whole",0.1
"willing",0.1
"young",0.1
"'d",0.09
"accept",0.09
"already",0.09
"among",0.09
"areas",0.09
"asking",0.09
"behind",0.09
"biggest",0.09
"book",0.09
"buying",0.09
"card",0.09
"carry",0.09
"case",0.09
"choose",0.09
"clean",0.09
"clothing",0.09
"compared",0.09
"costs",0.09
"day",0.09
"definitely",0.09
"delicious",0.09
"easily",0.09
"eating",0.09
"everywhere",0.09
"fast",0.09
"finding",0.09
"fresh",0.09
"front",0.09
"hand",0.09
"higher",0.09
"huge",0.09
"impossible",0.09
"kind",0.09
"learn",0.09
"less",0.09
"list",0.09
"long",0.09
"love",0.09
"made",0.09
"mind",0.09
"must",0.09
"never",0.09
"normally",0.09
"official",0.09
"ones",0.09
"option",0.09
"party",0.09
"pick",0.09
"popular",0.09
"prepared",0.09
"pretty",0.09
"relatively",0.09
"ride",0.09
"room",0.09
"selling",0.09
"shopping",0.09
"since",0.09
"sit",0.09
"slightly",0.09
"smaller",0.09
"spend",0.09
"thing",0.09
"though",0.09
"tickets",0.09
"tourist",0.09
"traffic",0.09
"typical",0.09
"vendors",0.09
"visiting",0.09
"wait",0.09
"warm",0.09
"watch",0.09
"wide",0.09
"wonderful",0.09
"work",0.09
"actually",0.08
"advance",0.08
"anyone",0.08
"away",0.08
"beware",0.08
"bring",0.08
"call",0.08
"catch",0.08
"certain",0.08
"change",0.08
"choice",0.08
"cities",0.08
"close",0.08
"companies",0.08
"countries",0.08
"couple",0.08
"cover",0.08
"dark",0.08
"days",0.08
"deal",0.08
"dish",0.08
"drinking",0.08
"else",0.08
"end",0.08
"european",0.08
"exchange",0.08
"experience",0.08
"extra",0.08
"extremely",0.08
"fact",0.08
"fill",0.08
"filled",0.08
"floor",0.08
"fruit",0.08
"full",0.08
"gets",0.08
"guide",0.08
"however",0.08
"idea",0.08
"illegal",0.08
"instead",0.08
"interested",0.08
"language",0.08
"large",0.08
"locations",0.08
"makes",0.08
"market",0.08
"markets",0.08
"means",0.08
"meet",0.08
"mostly",0.08
"music",0.08
"normal",0.08
"note",0.08
"number",0.08
"numbers",0.08
"offices",0.08
"options",0.08
"parking",0.08
"particular",0.08
"parts",0.08
"paying",0.08
"per",0.08
"please",0.08
"prefer",0.08
"purchase",0.08
"rarely",0.08
"rate",0.08
"rest",0.08
"say",0.08
"seem",0.08
"selection",0.08
"serious",0.08
"serve",0.08
"several",0.08
"side",0.08
"similar",0.08
"simply",0.08
"somewhat",0.08
"somewhere",0.08
"speaks",0.08
"special",0.08
"stalls",0.08
"students",0.08
"surprised",0.08
"taking",0.08
"tasty",0.08
"think",0.08
"top",0.08
"travel",0.08
"trip",0.08
"trying",0.08
"types",0.08
"typically",0.08
"using",0.08
"usual",0.08
"visa",0.08
"waiting",0.08
"walking",0.08
"women",0.08
"advisable",0.07
"alcohol",0.07
"amount",0.07
"arrive",0.07
"atms",0.07
"attention",0.07
"bargain",0.07
"basic",0.07
"beaches",0.07
"beers",0.07
"bigger",0.07
"bottle",0.07
"building",0.07
"busy",0.07
"cash",0.07
"chance",0.07
"chances",0.07
"clothes",0.07
"coffee",0.07
"cooked",0.07
"credit",0.07
"cuisine",0.07
"cultural",0.07
"currency",0.07
"dance",0.07
"drunk",0.07
"easier",0.07
"enter",0.07
"fairly",0.07
"famous",0.07
"fare",0.07
"foreigners",0.07
"forget",0.07
"free",0.07
"fried",0.07
"fun",0.07
"happy",0.07
"head",0.07
"helpful",0.07
"highly",0.07
"imported",0.07
"insist",0.07
"kinds",0.07
"languages",0.07
"last",0.07
"mainly",0.07
"menu",0.07
"morning",0.07
"near",0.07
"nightlife",0.07
"nothing",0.07
"notice",0.07
"offering",0.07
"old",0.07
"passport",0.07
"perfect",0.07
"person",0.07
"private",0.07
"reasonable",0.07
"require",0.07
"rooms",0.07
"season",0.07
"short",0.07
"show",0.07
"simple",0.07
"snacks",0.07
"sold",0.07
"sort",0.07
"speaking",0.07
"specific",0.07
"standard",0.07
"stop",0.07
"throughout",0.07
"true",0.07
"type",0.07
"valid",0.07
"whatever",0.07
"widely",0.07
