"","typical"
"dishes",0.13
"dish",0.1
"like",0.1
"typically",0.1
"bars",0.09
"de",0.09
"dutch",0.09
"find",0.09
"modern",0.09
"similar",0.09
"different",0.08
"drink",0.08
"expensive",0.08
"food",0.08
"made",0.08
"meat",0.08
"places",0.08
"prices",0.08
"sell",0.08
"spanish",0.08
"streets",0.08
"try",0.08
"usually",0.08
"well",0.08
"wine",0.08
"wines",0.08
"almost",0.07
"cheap",0.07
"del",0.07
"especially",0.07
"even",0.07
"found",0.07
"la",0.07
"little",0.07
"nice",0.07
"offer",0.07
"taste",0.07
