"","guesthouse"
"air-con",0.16
"rooms",0.16
"guest",0.14
"clean",0.13
"baht",0.12
"motorbike",0.12
"double",0.11
"fan",0.11
"room",0.11
"shared",0.11
"ban",0.1
"owner",0.1
"per",0.1
"tibetan",0.1
"arrange",0.09
"bathroom",0.09
"friendly",0.09
"hr",0.09
"internet",0.09
"opposite",0.09
"thai",0.09
"thailand",0.09
"atm",0.08
"attached",0.08
"bangkok",0.08
"breakfast",0.08
"buddha",0.08
"bungalows",0.08
"house",0.08
"min",0.08
"pagoda",0.08
"person",0.08
"price",0.08
"shower",0.08
"spacious",0.08
"speaks",0.08
"staff",0.08
"suite",0.08
"treks",0.08
"wi-fi",0.08
"ask",0.07
"bamboo",0.07
"bathrooms",0.07
"left",0.07
"next",0.07
"owners",0.07
"rooftop",0.07
