"","walk"
"minutes",0.19
"minute",0.18
"short",0.18
"around",0.17
"can",0.16
"nice",0.16
"take",0.16
"views",0.15
"walking",0.15
"bus",0.14
"get",0.14
"good",0.14
"just",0.14
"see",0.14
"station",0.14
"view",0.14
"along",0.13
"ask",0.13
"end",0.13
"enough",0.13
"go",0.13
"hostel",0.13
"look",0.13
"top",0.13
"will",0.13
"'s",0.12
"back",0.12
"friendly",0.12
"next",0.12
"path",0.12
"per",0.12
"right",0.12
"run",0.12
"shops",0.12
"small",0.12
"taxi",0.12
"across",0.11
"behind",0.11
"bit",0.11
"buy",0.11
"centre",0.11
"couple",0.11
"day",0.11
"entrance",0.11
"find",0.11
"hour",0.11
"leave",0.11
"left",0.11
"min",0.11
"quite",0.11
"ride",0.11
"rooms",0.11
"side",0.11
"takes",0.11
"train",0.11
"want",0.11
"worth",0.11
"buses",0.1
"clean",0.1
"climb",0.1
"cost",0.1
"costs",0.1
"easy",0.1
"every",0.1
"expensive",0.1
"front",0.1
"little",0.1
"opposite",0.1
"pay",0.1
"possible",0.1
"prices",0.1
"pubs",0.1
"staff",0.1
"stop",0.1
"towards",0.1
"trip",0.1
"try",0.1
"way",0.1
"away",0.09
"better",0.09
"excellent",0.09
"food",0.09
"lovely",0.09
"minutes'",0.09
"need",0.09
"night",0.09
"outside",0.09
"parking",0.09
"past",0.09
"person",0.09
"place",0.09
"pleasant",0.09
"price",0.09
"quiet",0.09
"return",0.09
"room",0.09
"selling",0.09
"shop",0.09
"start",0.09
"steep",0.09
"terrace",0.09
"ticket",0.09
"tourist",0.09
"turn",0.09
"walks",0.09
"'ll",0.08
"bars",0.08
"beach",0.08
"book",0.08
"busy",0.08
"cafe",0.08
"catch",0.08
"cheap",0.08
"cycle",0.08
"depart",0.08
"drinks",0.08
"driver",0.08
"easily",0.08
"either",0.08
"english",0.08
"even",0.08
"expect",0.08
"fantastic",0.08
"follow",0.08
"foot",0.08
"free",0.08
"guide",0.08
"harbour",0.08
"hotel",0.08
"inside",0.08
"internet",0.08
"jr",0.08
"make",0.08
"may",0.08
"meals",0.08
"metres",0.08
"might",0.08
"mins",0.08
"old",0.08
"owner",0.08
"really",0.08
"sell",0.08
"set",0.08
"shared",0.08
"signs",0.08
"simple",0.08
"sit",0.08
"stairs",0.08
"sure",0.08
"tell",0.08
"two",0.08
"uphill",0.08
"visit",0.08
"wait",0.08
"watch",0.08
"'re",0.07
"bottom",0.07
"budget",0.07
"building",0.07
"cafes",0.07
"castle",0.07
"cheaper",0.07
"cheapest",0.07
"close",0.07
"cross",0.07
"double",0.07
"floor",0.07
"hundred",0.07
"main",0.07
"meal",0.07
"money",0.07
"office",0.07
"rent",0.07
"slightly",0.07
"steps",0.07
"taxis",0.07
"tickets",0.07
"without",0.07
