"","australian"
"australia",0.32
"sydney",0.2
"aboriginal",0.12
"sealed",0.12
"default",0.11
"bookings",0.1
"gold",0.08
"reef",0.08
"south",0.08
"temperate",0.08
"bush",0.07
"caravan",0.07
"illegal",0.07
"indonesian",0.07
"motor",0.07
"mount",0.07
