"","basic"
"expect",0.12
"rooms",0.12
"ask",0.11
"pay",0.11
"simple",0.11
"clean",0.1
"cost",0.1
"driver",0.1
"may",0.1
"price",0.1
"prices",0.1
"will",0.1
"arrange",0.09
"better",0.09
"bring",0.09
"budget",0.09
"bungalows",0.09
"drivers",0.09
"food",0.09
"good",0.09
"knowledge",0.09
"leave",0.09
"might",0.09
"mobile",0.09
"need",0.09
"per",0.09
"shared",0.09
"speak",0.09
"stay",0.09
"usually",0.09
"visa",0.09
"want",0.09
"able",0.08
"advance",0.08
"always",0.08
"atms",0.08
"bathroom",0.08
"charge",0.08
"cheap",0.08
"cheaper",0.08
"double",0.08
"english",0.08
"ensure",0.08
"especially",0.08
"even",0.08
"expensive",0.08
"facilities",0.08
"fan",0.08
"hotels",0.08
"indonesian",0.08
"internet",0.08
"know",0.08
"make",0.08
"money",0.08
"often",0.08
"people",0.08
"respect",0.08
"room",0.08
"rp",0.08
"sim",0.08
"sure",0.08
"without",0.08
"'re",0.07
"accept",0.07
"air-con",0.07
"asking",0.07
"avoid",0.07
"clinic",0.07
"decent",0.07
"exchange",0.07
"find",0.07
"foreign",0.07
"least",0.07
"meals",0.07
"much",0.07
"night",0.07
"option",0.07
"provide",0.07
"receive",0.07
"require",0.07
"sell",0.07
"single",0.07
"sometimes",0.07
"tourists",0.07
"travellers",0.07
"wait",0.07
"wifi",0.07
