"","scottish"
"scotland",0.43
"highland",0.2
"forth",0.13
"glen",0.13
"isle",0.11
"william",0.11
"castle",0.1
"keen",0.1
"ben",0.09
"highlands",0.09
"robert",0.08
"uk",0.08
"britain",0.07
"chip",0.07
"england",0.07
