"","bargain"
"prices",0.14
"driver",0.13
"pay",0.12
"price",0.12
"cost",0.11
"expensive",0.11
"taxi",0.11
"ask",0.1
"cheaper",0.1
"drivers",0.1
"fixed",0.1
"taxis",0.1
"cheap",0.09
"expect",0.09
"hard",0.09
"leave",0.09
"prepaid",0.09
"try",0.09
"agree",0.08
"anything",0.08
"avoid",0.08
"bargaining",0.08
"better",0.08
"expats",0.08
"foreigners",0.08
"insist",0.08
"longer",0.08
"may",0.08
"might",0.08
"much",0.08
"paying",0.08
"sell",0.08
"sure",0.08
"vendors",0.08
"want",0.08
"always",0.07
"beware",0.07
"buy",0.07
"charge",0.07
"even",0.07
"exchange",0.07
"find",0.07
"make",0.07
"money",0.07
"morning",0.07
"negotiate",0.07
"night",0.07
"police",0.07
"rate",0.07
"rates",0.07
"stay",0.07
"though",0.07
