"","serving"
"restaurant",0.16
"food",0.14
"menu",0.13
"serves",0.13
"bar",0.12
"cuisine",0.12
"lunch",0.12
"dishes",0.11
"music",0.11
"selection",0.11
"serve",0.11
"served",0.11
"bars",0.1
"cafe",0.1
"free",0.1
"live",0.1
"vegetarian",0.1
"beer",0.09
"dining",0.09
"dinner",0.09
"excellent",0.09
"fresh",0.09
"friendly",0.09
"italian",0.09
"offering",0.09
"open",0.09
"pub",0.09
"shopping",0.09
"street",0.09
"variety",0.09
"addition",0.08
"always",0.08
"american",0.08
"arts",0.08
"asian",0.08
"authentic",0.08
"chain",0.08
"chicken",0.08
"chinese",0.08
"coffee",0.08
"downtown",0.08
"drinks",0.08
"every",0.08
"fares",0.08
"featuring",0.08
"friday",0.08
"generally",0.08
"good",0.08
"gourmet",0.08
"great",0.08
"hotel",0.08
"include",0.08
"including",0.08
"local",0.08
"locations",0.08
"market",0.08
"meal",0.08
"night",0.08
"nights",0.08
"pasta",0.08
"prices",0.08
"sandwiches",0.08
"saturday",0.08
"seafood",0.08
"seating",0.08
"service",0.08
"streets",0.08
"style",0.08
"throughout",0.08
"traffic",0.08
"well",0.08
"across",0.07
"buffet",0.07
"cheap",0.07
"full",0.07
"house",0.07
"mall",0.07
"opened",0.07
"parking",0.07
"priced",0.07
"pubs",0.07
"range",0.07
"run",0.07
"selling",0.07
"services",0.07
"sunday",0.07
"taxi",0.07
"university",0.07
"wide",0.07
"within",0.07
